AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,State,GDP,2347900
3FTF2T8WLSVQJBRV6ZWAUYVIL1PW9P,A10443E11ZWEHJ,36KM3FWE3RPRBI4O8S03KO0ODVY07M,2014-10-28T14:09:25Z,2014-10-28T14:10:00Z,2014-10-28T15:12:15Z,Illinois,695200,
3AMYWKA6YCZVWJGVH62OTURUSYKO6W,A1UOE2L1FXNFET,3Z33IC0JC0ZBI2TXQMMCJDHK2HY9VY,2014-10-28T15:05:05Z,2014-10-28T15:05:19Z,2014-10-28T16:07:16Z,Massachusetts,431937,
3LKC68YZ3BGTQYV18OFSROQ7GZMWOC,A3PQ0N92R472YJ,3BJKPTD2QCP29ALUF8MJ9GTTBIORTN,2014-10-27T21:21:02Z,2014-10-27T21:21:08Z,2014-10-27T22:22:18Z,Vermont,28422,
39ZSFO5CA992XJFZXB8M14OOWQOUJH,A2JVHE1ESSF6IQ,3WJGKMRWVIMRMJ0EBLW9FHCL8VXCDJ,2014-10-28T12:33:22Z,2014-10-28T13:00:48Z,2014-10-28T14:02:14Z,Mississippi,101549,
3OUYGIZWR8BI386HUHZM9TMTPZGP0X,A3US3R22I0W1QE,3Z3R5YC0P3056KGLODMPSRFA8UEFTH,2014-10-28T03:53:58Z,2014-10-28T03:57:19Z,2014-10-28T05:02:14Z,Arizona,267000,
31IBVUNM9TCM5WI3JBR6ISYFHPPFVV,A19PATBI3SQNU0,338GLSUI43O4RK36ZDHZIMJO6B0FSS,2014-10-27T19:53:14Z,2014-10-27T19:53:45Z,2014-10-27T20:57:15Z,Tennessee,303997,
3YT88D1N09BD998Y0CCXFAY1Y28K32,A8L450UGY77XB,33CLA8O0MIOSQ53TKOHUSCESK9HFR4,2014-10-28T14:53:53Z,2014-10-28T14:54:14Z,2014-10-28T15:57:15Z,South Dakota,43758,
33SA9F9TRY77E7ICEACWMCWTCY3EWF,A2JVHE1ESSF6IQ,35O6H0UNLSTJQKRR67VC491OLY95JJ,2014-10-28T12:29:43Z,2014-10-28T12:30:08Z,2014-10-28T13:32:14Z,Maine,53235,
31T4R4OBOTTDRUXXABYP48X9YUV7CP,A3PQ0N92R472YJ,3A3KKYU7P3U34BCW55VDA16I9P7MWK,2014-10-27T21:20:50Z,2014-10-27T21:20:56Z,2014-10-27T22:22:18Z,Texas,1463021,
3TVSS0C0E2D93Q09451RLYWUF8UWTR,A21XM6X2MUS3F7,3OJX0UFJ0ZKB5N4XLWC7NRF1OAP9U9,2014-10-28T15:21:48Z,2014-10-28T15:28:21Z,2014-10-28T16:32:14Z,Arizona,267000,
323Q6SJS8JTHNVNJEMA23R769AQFHH,A1JP58Y4XAT7EU,37YYO3NWHD3HHRU0BP1YVBU3NVLCCJ,2014-10-28T00:57:27Z,2014-10-28T00:58:11Z,2014-10-28T02:02:14Z,West Virginia,65765,
3JPSL1DZ5TCE10SM64JNUATBY76ANU,A31URGVCELAPBD,3SCKNODZ0XTUWEWV9Y21V0W1LO97N4,2014-10-28T15:28:36Z,2014-10-28T15:28:58Z,2014-10-28T16:32:14Z,Oklahoma,173146,
3S96KQ6I9NHAUK0INAW1TA798R4TDT,A1JP58Y4XAT7EU,3W0XM68YZP8FDMWQN5TC2YOKO73K1E,2014-10-28T00:39:13Z,2014-10-28T00:44:03Z,2014-10-28T01:47:14Z,Utah,142329,
3YGXWBAF71UG87FE8D0I1WDZ7SBC4G,A1JP58Y4XAT7EU,3QX22DUVOOUQPMCRFVQHOZN42G5MVA,2014-10-28T00:14:32Z,2014-10-28T00:15:59Z,2014-10-28T01:17:15Z,Minnesota,323912,
3RGU30DZTBLJKBAQO9H0AU7UJ4DJM6,A2C7EF24WOLC,35A1YQPVFETNV97LOPACS8MO8JK5I7,2014-10-28T05:07:02Z,2014-10-28T05:07:35Z,2014-10-28T06:12:14Z,Alaska,59643,
3HMIGG0U4MJUUB3LG88KFZLNC39Y83,A1UOE2L1FXNFET,3EAWOID6MTATM85KQQ3JQ2GRZD4V08,2014-10-28T15:04:34Z,2014-10-28T15:04:46Z,2014-10-28T16:07:15Z,Maine,53235,
3Q8GYXHFEQFY4QJEMIJS6OJD7PQ5C0,A1UOE2L1FXNFET,3NSCTNUR2Z08PRONC1IZBAY5VBFA58,2014-10-28T14:59:04Z,2014-10-28T14:59:52Z,2014-10-28T16:02:15Z,Alabama,189542,
3NXNZ5RS1BABTWQUYROY2IW1S9Z97H,A2A2ZQOK7NKE70,309D674SHZYY7M2UXP53KROL5ALCBC,2014-10-28T00:40:55Z,2014-10-28T00:41:11Z,2014-10-28T01:42:16Z,Oregon,198700,
3907X2AHF1IPZI9V9430SHF8MXTP2A,A1JP58Y4XAT7EU,3PCPFX4U403SE4OT79SUNM4NONFFQ3,2014-10-28T00:24:54Z,2014-10-28T00:28:01Z,2014-10-28T01:32:15Z,Missouri,279099,
354GIDR5ZCJFFR2XDWKWUSLLHSF00E,A2JVHE1ESSF6IQ,3JYPJ2TAYIL7ESNE7WD5NHEDJRTFPC,2014-10-28T12:36:42Z,2014-10-28T13:02:34Z,2014-10-28T14:07:14Z,New Mexico,89188,
3QAVNHZ3ENHOD0P1UR38HIPMTBELA9,A3PQ0N92R472YJ,3T8DUCXY0NJW5AP8LRMXIVTZ5WI9TI,2014-10-27T21:14:26Z,2014-10-27T21:14:52Z,2014-10-27T22:17:15Z,Alabama,189542,
373ERPL3YPL4VUJN5BRLYZODNTFRTJ,A31URGVCELAPBD,3XEDXEGFX31F6XB8RMPCOT5AJFXK0B,2014-10-28T15:20:30Z,2014-10-28T15:20:57Z,2014-10-28T16:22:14Z,New Jersey,545765,
3QIYRE09Y4UI7CFMALQUJ908UDN1NK,ALJ96GZYLY1KG,31ANT7FQN8FNZEW1I7SRSWL98655HE,2014-10-28T04:32:29Z,2014-10-28T04:33:02Z,2014-10-28T05:37:14Z,New York,1157969,
3NPFYT4IZDHKNLJTUAY6OYVCYGGGXJ,A2C7EF24WOLC,3I6NF2WGIG99ZI1QY1A97W98T6S5GF,2014-10-28T05:08:12Z,2014-10-28T05:08:51Z,2014-10-28T06:12:14Z,California,2125717,
3TXD01ZLD5UCU1WEU4LIV2Z5ES84U8,A19PATBI3SQNU0,3NI0WFPPI9T87IQJPIVBEA0SIKE06N,2014-10-27T20:03:00Z,2014-10-27T20:03:29Z,2014-10-27T21:07:15Z,Arkansas,117496,
31LM9EDVOM5P2TVQ0AW0N9WUOTINJ3,A19PATBI3SQNU0,3VZYA8PITOBCOEQ5KZL6M4MSMP3057,2014-10-28T02:13:59Z,2014-10-28T02:14:22Z,2014-10-28T03:17:15Z,Montana,45983,
30BXRYBRP5AJYH9E4BK27FT64D9HWA,A3PQ0N92R472YJ,3V0TR1NRVAFQT8KNYWZP6ISRVFKA43,2014-10-27T21:19:41Z,2014-10-27T21:19:47Z,2014-10-27T22:22:17Z,North Dakota,49509,
3UNH76FOCTI9F05PA9I3KHMIW7EYM5,A1JP58Y4XAT7EU,302OLP89DZKTOCX2RB57PG4FNS0CAH,2014-10-28T00:34:14Z,2014-10-28T00:36:38Z,2014-10-28T01:37:16Z,Kentucky,186266,
3J4Q2Z4UTZGWBA8HN17WGTL7V08QWI,A19PATBI3SQNU0,3FSEU3P2NRDPTV82BJHO91SBNXRRRA,2014-10-27T23:10:20Z,2014-10-27T23:10:54Z,2014-10-28T00:12:15Z,New Mexico,85497,
33PPO7FECWSKL6K7TYXXF350XARDIZ,A218W8G3SYFPGI,3FDWKV9VCNFQC7NRA5GCSDLLO9WMUL,2014-10-28T02:21:12Z,2014-10-28T02:21:35Z,2014-10-28T03:22:15Z,Texas,1308132,
3HVVDCPGTF5DSVV9J6JF6VHAQGTYTR,A8L450UGY77XB,3RSBJ6YZEC3PTSBDSW0QYH9N9MXFOV,2014-10-28T14:49:54Z,2014-10-28T14:50:17Z,2014-10-28T15:52:15Z,Pennsylvania,629851,
3X73LLYYQ2RTBN00CATFBWGFB2VNHH,A8L450UGY77XB,3X878VYTIEVI8MJEBAJONVNSJXMF74,2014-10-28T14:55:46Z,2014-10-28T14:55:59Z,2014-10-28T15:57:15Z,Kentucky,177967,
32N49TQG3HVR951V8V5E4RNOKA7AVA,A1UOE2L1FXNFET,3T2HW4QDUVKFJTNXZ5R7TLTVHAIC92,2014-10-28T15:04:47Z,2014-10-28T15:05:03Z,2014-10-28T16:07:15Z,Maryland,336481,
3XLBSAQ9Z5PQZN872PIXF6YU7CN7ZU,A1JP58Y4XAT7EU,3K2CEDRACBEBCU82A0Q2NHZJ5VPMTU,2014-10-28T00:33:39Z,2014-10-28T00:34:13Z,2014-10-28T01:37:16Z,South Carolina,191278,
39GHHAVOMG43GLLKI5H4O0QUXCNJ44,A218W8G3SYFPGI,33NKDW9FFXV5KP5V2LXL9OFDODACXM,2014-10-28T02:29:20Z,2014-10-28T02:29:26Z,2014-10-28T03:32:16Z,South Carolina,191278,
3QUO65DNQV1GYU6WDO0R905AVKQUOS,A2C7EF24WOLC,337F8MIIMZQUSVM56U2WHCGEMT8042,2014-10-28T05:20:44Z,2014-10-28T05:20:58Z,2014-10-28T06:22:15Z,Virginia,445090,
37M28K1J0RQIIA11R6RV13CUPN0AJP,A8L450UGY77XB,31SIZS5W59SPHUT2Y4SO4BI6RBPRQ9,2014-10-28T15:00:08Z,2014-10-28T15:00:21Z,2014-10-28T16:02:16Z,Wyoming,41839,
3Z7EFSHGNAR7693OSO2NY7AX0O0CXH,A1UOE2L1FXNFET,3I7SHAD35M9OEWBVXXN1IL71GYZ7M4,2014-10-28T15:00:24Z,2014-10-28T15:00:39Z,2014-10-28T16:02:16Z,Arkansas,118993,
3OXV7EAXLF36AUN9Y8IW5RTJX6B634,ALJ96GZYLY1KG,3EQPA8A3749HXYBGDV2STD8JMXGJZ3,2014-10-28T04:31:54Z,2014-10-28T04:32:21Z,2014-10-28T05:37:14Z,Texas,1308132,
3ZWFC4W1UVKUCP1MARMWHV9CWJNFRD,A2A2ZQOK7NKE70,3SNR5F7R926NRS0EZQ3FW2S1LCJIEL,2014-10-28T00:38:27Z,2014-10-28T00:38:47Z,2014-10-28T01:42:15Z,Tennessee,277000,
3YWRV122CTCDD2JG67BVCEFAGEE8UT,A1JP58Y4XAT7EU,3ZXNP4Z39RY48ETAXLMMI8SCGT97L2,2014-10-28T00:47:50Z,2014-10-28T00:50:02Z,2014-10-28T01:52:15Z,Mississippi,110272,
3QXNC7EIPJ8XBLQADS3PN3MEKWD09U,A8L450UGY77XB,3K3IX1W4S64CI166WGRD9G3MMBFPA8,2014-10-28T14:56:28Z,2014-10-28T14:56:44Z,2014-10-28T15:57:16Z,North Carolina,452358,
3BF51CHDTWNQQR8TB4RH0KK2398H0O,A2C7EF24WOLC,3EFNPKWBMS19AZ316GXD77O88TC30K,2014-10-28T05:09:44Z,2014-10-28T05:09:59Z,2014-10-28T06:12:15Z,Florida,769007,
3CTOC39K3830Z833K3FBRCA4OE3J7E,A3PQ0N92R472YJ,375VMB7D4JWIZMME3VSVQKAGL0IIDS,2014-10-27T21:17:15Z,2014-10-27T21:17:25Z,2014-10-27T22:22:15Z,Louisiana,251369,
3R6BYFZZP8PE9LNYJQSO6DV0X08FX9,A2A2ZQOK7NKE70,3VEI3XUCZRA4HISNYRDZ46SWMF3RPI,2014-10-28T00:41:30Z,2014-10-28T00:41:46Z,2014-10-28T01:42:16Z,South Carolina,176200,
3OE22WJIGJ1JJ6JCS1SVY50AALKUQC,A8L450UGY77XB,3S829FDFT2EFPHB92HSWTUXV9DLXD6,2014-10-28T14:53:36Z,2014-10-28T14:53:52Z,2014-10-28T15:57:15Z,North Dakota,49509,
308Q0PEVB9Q8IG7QHISVT7MA6P89IA,A20NGV3YRBQT5W,3XD2A6FGFN7VQACTWRH78QXD3D49ST,2014-10-27T23:46:18Z,2014-10-27T23:46:46Z,2014-10-28T00:47:14Z,Texas,1308132,
3UXUOQ9OKFAPYF0ZQX2YYD7LYS17AG,A31URGVCELAPBD,3M0556243SX7B7B1RH0DJS9IJCSFNG,2014-10-28T15:28:10Z,2014-10-28T15:28:35Z,2014-10-28T16:32:14Z,Kentucky,186266,
3RRCEFRB7NPXY2N8UD4NQC7HP8UB4T,A8L450UGY77XB,3P7QK0GJ3TYHR2D86AW0UWM2KMV2Z0,2014-10-28T14:47:46Z,2014-10-28T14:48:05Z,2014-10-28T15:52:14Z,Vermont,28422,
30LSNF239V8XIWMRW9DGJKEW0KK2IZ,A31URGVCELAPBD,3EFNPKWBMS19AZ316GXD77O88TC03H,2014-10-28T15:30:44Z,2014-10-28T15:31:10Z,2014-10-28T16:32:15Z,Nebraska,107889,
39LOEL67OTITE86XRNFUP5PA31U83L,A2A2ZQOK7NKE70,33NKDW9FFXV5KP5V2LXL9OFDOD9XC6,2014-10-28T00:36:19Z,2014-10-28T00:36:34Z,2014-10-28T01:37:16Z,Georgia,433500,
336YQZE83WRBDCV5Z7D69KOP12D5MZ,A218W8G3SYFPGI,3EN4YVUOUC5SS3B1CDE7WSS8EXIJX6,2014-10-28T02:27:22Z,2014-10-28T02:27:35Z,2014-10-28T03:32:15Z,Maryland,344373,
3C44YUNSI22C2S7B6TNHO06CJOMDPB,A218W8G3SYFPGI,3D3B8GE8924YDIW14ADDDLS2GTXP9T,2014-10-28T02:23:51Z,2014-10-28T02:24:03Z,2014-10-28T03:27:15Z,Mississippi,437247,
3FTOP5WARG1MHX3JZ4U2CX0HG1P0JP,A8L450UGY77XB,3X52SWXE0XIQVP05SG1Z7516FB4CWT,2014-10-28T15:01:15Z,2014-10-28T15:01:29Z,2014-10-28T16:02:16Z,Nevada,128896,
3PPTZCWALRX055DMYOR3FXFPC3NZQU,A2C7EF24WOLC,3O71U79SRB2AXUVNL0LCDC3X3CBMS5,2014-10-28T05:20:59Z,2014-10-28T05:21:17Z,2014-10-28T06:22:15Z,Washington,390918,
3S06PH7KSSH9L0O9LRCRN4OEG8E1DT,A2A2ZQOK7NKE70,3OB6JN3A9Q2YWFVA6BL7N2Y1HASMRH,2014-10-28T00:33:51Z,2014-10-28T00:34:12Z,2014-10-28T01:37:15Z,Florida,777100,
3QJOXOW4XK4B9VOYA869DEU2EVZME4,A19PATBI3SQNU0,36818Z1KV3Q5BC1JYIU6WD0LHFOA3I,2014-10-27T19:56:56Z,2014-10-27T19:57:29Z,2014-10-27T21:02:14Z,Missouri,279099,
3Z4AIRP3C7QNJ6TQCRD3HBR6WQT1XY,A218W8G3SYFPGI,3XH7ZM9YX27JPVCGH2H2IGSHHBL9R5,2014-10-28T02:33:03Z,2014-10-28T02:33:11Z,2014-10-28T03:37:15Z,North Dakota,55262,
3U4J9857OFOUHP5RWB2UTORRG91B7S,A2A2ZQOK7NKE70,3Y7LTZE0YTZQBEMAPU660FHU3DEUZA,2014-10-28T00:47:17Z,2014-10-28T00:47:41Z,2014-10-28T01:52:14Z,Idaho,58200,
35LDD5557BHEVVG86UHCB977YTLKME,A2JVHE1ESSF6IQ,3WYZV0QBFJQMAKDPOL1QY49V6S9XBZ,2014-10-28T12:38:16Z,2014-10-28T13:03:36Z,2014-10-28T14:07:15Z,Ohio,548526,
3SEPORI8WOC8IP659SUHPX0K8KTZAD,A2A2ZQOK7NKE70,3CVDZS288HD1TPQ1FGLD6DKIEMIFMG,2014-10-28T00:47:42Z,2014-10-28T00:48:04Z,2014-10-28T01:52:14Z,Maine,53600,
3JWH6J9I9TQJKAXECIJJPLDHGO9BN6,A218W8G3SYFPGI,3DZKABX2ZIIDG00026W3L3IS822CVJ,2014-10-28T02:31:28Z,2014-10-28T02:31:37Z,2014-10-28T03:32:17Z,Delaware,70293,
3VD82FOHKR1KC0PWRXFRFUJ4OJ0COF,A19PATBI3SQNU0,3TL87MO8CM2HN78GF4KY605TEHSFLE,2014-10-27T19:47:30Z,2014-10-27T19:47:50Z,2014-10-27T20:52:14Z,Michigan,437247,
3Y9N9SS8LZO5V32O8VQABX3BETD3DA,A31URGVCELAPBD,3UEDKCTP9V3TO8BSCLAL38FXRT47KZ,2014-10-28T15:29:57Z,2014-10-28T15:30:13Z,2014-10-28T16:32:15Z,Utah,142329,
3137ONMDKHIBHLSCZ58E09A5IA5EG8,A2C7EF24WOLC,3GMLHYZ0LEAQ6OC5T84NM88SXJAUYJ,2014-10-28T05:15:05Z,2014-10-28T05:15:22Z,2014-10-28T06:17:15Z,Montana,42140,
3CCZ6YKWR8WW6SCBAY914YI514N59J,A8L450UGY77XB,3PA41K45VNHUZZ88PDFTZP1WL39P7H,2014-10-28T14:58:49Z,2014-10-28T14:59:21Z,2014-10-28T16:02:15Z,Colorado,278551,
3LWJHTCVCDZU0OMMXCXWC5Z70Y3FQW,A10443E11ZWEHJ,3MJ9GGZYO3JGQU50UIG1D3VTB1OA27,2014-10-28T14:10:06Z,2014-10-28T14:10:31Z,2014-10-28T15:12:15Z,Ohio,509300,
3PH3VY7DJMA5P298AXQ97MXB04CZW6,A2JVHE1ESSF6IQ,3UQVX1UPFSUKPH7I2GJ8OXJG2FC026,2014-10-28T12:32:52Z,2014-10-28T12:54:20Z,2014-10-28T13:57:14Z,Georgia,468324,
3EFVCAY5L4M4ZM8MU87H5C6ZZY9J81,A3PQ0N92R472YJ,37VHPF5VYCGF5O4NUDLTTPYKX40C8D,2014-10-27T21:17:26Z,2014-10-27T21:17:34Z,2014-10-27T22:22:15Z,Maine,53235,
3QEMNNSB2YCNWM3BA7T0OEFRJVYD7O,A31URGVCELAPBD,3PR3LXCWSFC3MRYSQ1NU7YE5IS6X9P,2014-10-28T15:32:08Z,2014-10-28T15:32:34Z,2014-10-28T16:37:14Z,Alaska,54702,
39GAF6DQWSDVFHOVCCCLTQULGFI1VS,A2A2ZQOK7NKE70,32FESTC2NH3D3LB0XGMYPHG9UVTCUU,2014-10-28T00:41:12Z,2014-10-28T00:41:29Z,2014-10-28T01:42:16Z,Alabama,183500,
3YDTZAI2WYTWL45GSGBYK0U83VH41F,A3MXGD3WGNFXFX,3G9UA71JVV7YDO5AU0A92TFKC447J0,2014-10-27T22:39:11Z,2014-10-27T22:42:29Z,2014-10-27T23:47:15Z,California,2347900,
3NL0RFNU0G0YR5R20QHGPFQ7C24K4N,A8L450UGY77XB,3JHB4BPSFKMJDUXG4NS2DQICLPJ9Q4,2014-10-28T14:54:32Z,2014-10-28T14:54:44Z,2014-10-28T15:57:15Z,Arkansas,118993,
3CPLWGV3MPC0WHIHEY5NYFIRSPB9N1,A2C7EF24WOLC,359AP8GAGGXB5AZ4K8TNFP2PMKUC7Q,2014-10-28T05:09:59Z,2014-10-28T05:10:15Z,2014-10-28T06:12:15Z,Georgia,438324,
3R0T90IZ1TPWKN8Y3E2JALA2XY4CGP,A8L450UGY77XB,3D3B8GE8924YDIW14ADDDLS2GTX9PD,2014-10-28T14:51:50Z,2014-10-28T14:52:14Z,2014-10-28T15:57:14Z,Wisconsin,272086,
3VSOLARPKCMTSDP7WFL8P1KLN7C395,A2A2ZQOK7NKE70,3LXX8KJXPWMGSIK0PA0YOLNC6O19OW,2014-10-28T00:40:18Z,2014-10-28T00:40:35Z,2014-10-28T01:42:15Z,Louisiana,243200,
3QEMNNSB2YCNWM3BA7T0OEFRJVXD7N,A1UOE2L1FXNFET,386659BNTLUD0WPMJCJUJE9BA9Y01P,2014-10-28T15:05:19Z,2014-10-28T15:05:33Z,2014-10-28T16:07:16Z,Michigan,416769,
3L2IS5HSFBVYG96KC90EUB5559ENUX,A3T7WJ9OPV8XH1,374UMBUHN52Y38WBXBWOKLU7BHMCT3,2014-10-28T01:17:48Z,2014-10-28T01:20:57Z,2014-10-28T02:22:14Z,Alabama,189542,
308Q0PEVB9Q8IG7QHISVT7MA6PA9IC,A2A2ZQOK7NKE70,3AC6MFV69KVL6SGQPVZ7H0S495CHZW,2014-10-28T00:49:18Z,2014-10-28T00:49:43Z,2014-10-28T01:52:15Z,South Dakota,42400,
39K0FND3AIS8JI7MU34NHV4BTGBAM7,A2A2ZQOK7NKE70,34XASH8KLQZDK2FVTJHII7YMGS4MPP,2014-10-28T00:35:47Z,2014-10-28T00:36:03Z,2014-10-28T01:37:16Z,North Carolina,455900,
3P59JYT76MXNRA22QLCKXRG5B0F2TT,A2A2ZQOK7NKE70,3MNJFORX8BH3LI5VNH4RPB9WSRRF5P,2014-10-28T00:34:39Z,2014-10-28T00:35:03Z,2014-10-28T01:37:16Z,Pennsylvania,600800,
32SVAV9L3GM7XWZCOLZ8LWV5TQ3A32,A2C7EF24WOLC,33K3E8REWW838MFIL9HG72JUYMOX80,2014-10-28T05:11:05Z,2014-10-28T05:11:21Z,2014-10-28T06:12:15Z,Indiana,306838,
3M0BCWMB8W99746S4JA6L4Q8909WBE,A1JP58Y4XAT7EU,338431Z1FLSMWIGMJR0KF6N6CA7RO1,2014-10-28T00:06:58Z,2014-10-28T00:08:46Z,2014-10-28T01:12:15Z,North Carolina,496092,
31N2WW6R9S32TNGKZ1L0ZX6WQ51F33,A3PQ0N92R472YJ,3CRWSLD91KHVZ23UEJ43T7TW6N8MO8,2014-10-27T21:19:11Z,2014-10-27T21:19:20Z,2014-10-27T22:22:16Z,New Jersey,528788,
3K3R2QNK8CGDR72QBZH9CAAL0KL9U8,A19PATBI3SQNU0,3M7OI89LVY1S1ALZ1YOV9B2TR9AC6R,2014-10-27T19:41:55Z,2014-10-27T19:42:16Z,2014-10-27T20:47:14Z,Florida,843091,
3QIYRE09Y4UI7CFMALQUJ908UCJ1NE,A218W8G3SYFPGI,30ZKOOGW2WJ919N4BEGN8KLOJVAA1Q,2014-10-28T02:28:52Z,2014-10-28T02:29:01Z,2014-10-28T03:32:16Z,Connecticut,243386,
3RANCT1ZVGUWF0HN9JV53G5BOLGBUE,A2JVHE1ESSF6IQ,368IUKXGA5LBVZU363A1TB10QSPP6I,2014-10-28T12:55:43Z,2014-10-28T13:06:07Z,2014-10-28T14:07:16Z,West Virginia,69711,
3PZDLQMM0UY65T0R4ZHU8HG1NFZ2CW,A1UOE2L1FXNFET,3V7ICJJAZATVCIPF4AZL1TCXDX44BR,2014-10-28T15:01:34Z,2014-10-28T15:01:54Z,2014-10-28T16:02:17Z,Florida,769007,
