AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Answer.company,Answer.employees
3G5W44VEU8VE3LKMVRJHY4NAC34GKZ,A3CC9BWPLAR31J,3AQN9REUTFT4PM1J7DEYC845I56DY0,Thu Jun 04 15:43:04 PDT 2015,Thu Jun 04 15:43:45 PDT 2015,2015-06-04 23:47:53 UTC,Yahoo! Inc.,12500
3XIQGXAUMDL1US8S17UCILIJ9A47XI,A3N6Z886JPK4BG,3GONHBMNHVB7Y6H1GSFK9501XETZMO,Fri Jun 05 03:59:59 PDT 2015,Fri Jun 05 04:00:25 PDT 2015,Fri Jun 05 04:35:58 PDT 2015,Yahoo! Inc.,12500
3AMW0RGHOEFLO4YOVN1KK5I67QZNPK,A2I159VITLD19Y,3NOEP8XAU4FOEEEZ7QJRTOELUJ7PXE,Fri Jun 05 03:37:59 PDT 2015,Fri Jun 05 03:38:20 PDT 2015,Fri Jun 05 04:36:06 PDT 2015,Yahoo! Inc.,12500
3PXX5PX6LYBC0R3P3EEE3FTHRELAB0,AEK2SAEL9GG39,30F94FBDNRXFT345JB0T91OQ0IBTBJ,Thu Jun 04 16:27:06 PDT 2015,Thu Jun 04 16:28:31 PDT 2015,2015-06-05 00:32:47 UTC,XIM  Inc.,200
336KAV9KYR5J8W1W0RZJ588K00EY21,A3N6Z886JPK4BG,3D17ECOUOE89HOOJ2Z1DLC7JK8131P,Fri Jun 05 04:27:01 PDT 2015,Fri Jun 05 04:29:20 PDT 2015,Fri Jun 05 04:37:44 PDT 2015,Xilinx  Inc.,3451
3BF51CHDTWNQQR8TB4RH0KK2D5CH0U,AEK2SAEL9GG39,3E22YV8GG1JJ2K0V5KWIVMNNS44NPX,Thu Jun 04 16:00:57 PDT 2015,Thu Jun 04 16:01:46 PDT 2015,2015-06-05 00:02:48 UTC,Xilinx  Inc.,3451
34J10VATJGBEAFOCYK3HF2CZQMRQIW,AEK2SAEL9GG39,3R15W654VD6EEWYPTKVSIZ98S5QQLP,Thu Jun 04 16:31:09 PDT 2015,Thu Jun 04 16:31:36 PDT 2015,2015-06-05 00:32:49 UTC,Xilinx  Inc.,3451
3LOTDFNYA8CZKLI89LW24UHTYWGFW0,A2I159VITLD19Y,306W7JMRYYBWVJCHGDPYI5S3M6J8B4,Fri Jun 05 03:40:00 PDT 2015,Fri Jun 05 03:40:13 PDT 2015,Fri Jun 05 04:37:30 PDT 2015,Xilinx  Inc.,3451
38YMOXR4MVC31SPX8STYAO4G5WCW6B,A3CC9BWPLAR31J,3OCZWXS7ZOKPLAFR9S7PKOEHW93L57,Thu Jun 04 16:15:04 PDT 2015,Thu Jun 04 16:15:52 PDT 2015,2015-06-05 00:17:46 UTC,Xerox Corporation,145600
3VNXK88KKDVD4MRQGPRE8WC4OOJV9C,AEK2SAEL9GG39,35JDMRECC4M9V1UJ923CBQFMDLHEGW,Thu Jun 04 16:52:34 PDT 2015,Thu Jun 04 16:53:00 PDT 2015,2015-06-05 00:57:48 UTC,WSO2,420
3S06PH7KSSH9L0O9LRCRN4OEQ5O1D7,A3CC9BWPLAR31J,3I01FDIL6MLEO18CES7334303QAD2I,Thu Jun 04 15:29:05 PDT 2015,Thu Jun 04 15:30:16 PDT 2015,2015-06-04 23:33:01 UTC,WOWO LTD,3049
3G2UL9A02EROBDOW0KLMI85ZC5Z67F,A1WX1XX58WCVTS,3EN4YVUOUC5SS3B1CDE7WSS9LJ9JXE,Thu Jun 04 15:13:03 PDT 2015,Thu Jun 04 15:13:55 PDT 2015,2015-06-04 23:17:42 UTC,WOWO LTD,3049
3WSELTNVR4FCWDX6305Z39Z3XLMATR,AEK2SAEL9GG39,3511RHPADVREQXDP6ZKSNPJDORSLRL,Thu Jun 04 16:51:35 PDT 2015,Thu Jun 04 16:52:34 PDT 2015,2015-06-05 00:52:47 UTC,WorldAPP,130
3R8YZBNQ9IVHLV7GFTZKODMQC7I7QM,A3N6Z886JPK4BG,3MZ3TAMYTL0C0W5JLWNFV9RL7OQRI7,Fri Jun 05 04:19:06 PDT 2015,Fri Jun 05 04:19:36 PDT 2015,Fri Jun 05 04:36:05 PDT 2015,Workday Inc,3750
31Z0PCVWULSUDBZ8WXTFTIXDWEFT7K,A2I159VITLD19Y,3SD15I2WD274OAPG85DUG8Y0SJH36N,Fri Jun 05 03:48:33 PDT 2015,Fri Jun 05 03:48:49 PDT 2015,Fri Jun 05 04:36:12 PDT 2015,Workday Inc,3750
3HYA4D452SWD85K1V17VGN14UPKF2H,A1XOXGWBAN6HEJ,3M47JKRKCXEQP7VMKM8Q7P6B85886J,Fri Jun 05 03:03:32 PDT 2015,Fri Jun 05 03:35:58 PDT 2015,Fri Jun 05 04:36:04 PDT 2015,Windstream Holdings,14500
33CUSNVVNOPFF5C334AQGMXLTK088V,AEK2SAEL9GG39,3NI0WFPPI9T87IQJPIVBEA0TP64600,Thu Jun 04 16:31:37 PDT 2015,Thu Jun 04 16:32:03 PDT 2015,2015-06-05 00:32:49 UTC,Wind River Systems,1800
3IGI0VL648X334MNGNO5V5DGXK1ON0,AEK2SAEL9GG39,3H5TOKO3D9WP668K8JIDQDQ66IK64G,Thu Jun 04 16:01:47 PDT 2015,Thu Jun 04 16:02:16 PDT 2015,2015-06-05 00:02:48 UTC,Wind River Systems,1800
3PZDLQMM0UY65T0R4ZHU8HG1XCXC28,A2I159VITLD19Y,3Y40HMYLL1V16JMVOCIL3U1K20ZXUI,Fri Jun 05 04:38:45 PDT 2015,Fri Jun 05 04:39:00 PDT 2015,2015-06-05 12:42:37 UTC,WillowTree Apps,70
3C2NJ6JBKBUPWXXITPQ8OSADWF32N6,A1WX1XX58WCVTS,3VGET1QSZ0CKJ8591ZTORJ9TLM2W7Q,Thu Jun 04 15:24:02 PDT 2015,Thu Jun 04 15:25:24 PDT 2015,2015-06-04 23:27:47 UTC,WiLan Inc,66
38BQUHLA9XDXLM1N4M95IQOGSVUOM5,A3N6Z886JPK4BG,3VJ4PFXFJ3KPA6E2D2Q7JMQM1FQAUR,Fri Jun 05 04:13:26 PDT 2015,Fri Jun 05 04:13:59 PDT 2015,Fri Jun 05 04:35:21 PDT 2015,Western Digital Corp,84072
3TMSXRD2X7D8U6O02MHHFSDZXMY1WM,A1XOXGWBAN6HEJ,3TUOHPJXYHAEYNB0JCXMLIMHNGAXWH,Fri Jun 05 03:53:40 PDT 2015,Fri Jun 05 03:54:45 PDT 2015,Fri Jun 05 04:35:19 PDT 2015,Western Digital Corp,84072
3LOTDFNYA8CZKLI89LW24UHTYVHFWZ,AEK2SAEL9GG39,3GVPRXWRPH72IDL4CIP9QS0L6B4I75,Thu Jun 04 16:51:01 PDT 2015,Thu Jun 04 16:51:34 PDT 2015,2015-06-05 00:52:47 UTC,WellPoint Systems,193
351SEKWQS1U6HPAYEDVP7WCHOHQMD9,A2I159VITLD19Y,33K3E8REWW838MFIL9HG72JV596X81,Fri Jun 05 04:37:02 PDT 2015,Fri Jun 05 04:37:10 PDT 2015,2015-06-05 12:37:39 UTC,WebPT,183
3N4BPTXIO95X83LHFW8Y2JO1LBNKU7,AEK2SAEL9GG39,3B9XR6P1WE8LF0807HMP7V1H2GLJB5,Thu Jun 04 16:50:09 PDT 2015,Thu Jun 04 16:51:00 PDT 2015,2015-06-05 00:52:46 UTC,Web.com,2200
354GIDR5ZCJFFR2XDWKWUSLLROD00E,AEK2SAEL9GG39,3IKDQS3DQED8UUG03ZXK6ESZ7MVICY,Thu Jun 04 16:47:44 PDT 2015,Thu Jun 04 16:50:09 PDT 2015,2015-06-05 00:52:46 UTC,WatchGuard Technologies  Inc,400
3X87C8JFV7O34TR83WXVJ4IMZLSQSP,A2I159VITLD19Y,3K8CQCU3KEE9MTXWH6ADNGVJL2ZWNV,Fri Jun 05 03:14:20 PDT 2015,Fri Jun 05 03:14:33 PDT 2015,2015-06-05 11:17:38 UTC,WageWorks,1675
3ZGVPD4G6UUDXL5EFSLYK2QC67VTZF,A2I159VITLD19Y,3RKHNXPHGW9VMJNOPT3WD0TI6RKKUG,Fri Jun 05 04:42:44 PDT 2015,Fri Jun 05 04:43:00 PDT 2015,2015-06-05 12:47:37 UTC,W&R Studios,18
30JNVC0ORAXEEKDSS2LWFQBKQAGHQ0,A1XOXGWBAN6HEJ,3YGYP13641M4EXGAIC070HN2TNKRNN,Fri Jun 05 04:46:00 PDT 2015,Fri Jun 05 05:33:21 PDT 2015,2015-06-05 13:37:38 UTC,VOXELJET,87
33ISQZVXPQZJ3BST1S60KUPN925CCA,A3CC9BWPLAR31J,3SV8KD29L45C8IHYVG24US8X886KZA,Thu Jun 04 16:00:27 PDT 2015,Thu Jun 04 16:02:00 PDT 2015,2015-06-05 00:02:48 UTC,Vonage Holdings Corp.,1400
3BXQMRHWK0BSYRLK08LEHWG5AGGMUC,AEK2SAEL9GG39,3BKZLF990ZCYEV5OCZKIC7B41KUYQP,Thu Jun 04 16:28:32 PDT 2015,Thu Jun 04 16:28:50 PDT 2015,2015-06-05 00:32:47 UTC,Vollee,55
36W0OB37HXRNSCEJFY496JNOVDYHZR,A3N6Z886JPK4BG,3N5YJ55YXGGCFGUTG1EL5RYSTJXNAC,Fri Jun 05 04:02:00 PDT 2015,Fri Jun 05 04:02:35 PDT 2015,Fri Jun 05 04:36:05 PDT 2015,VMware,18000
3LEIZ60CDKCUD6W0HMGHT2P0CZJ9ZK,A2QVMCGDLTWV9,3MIVREZQVHB3UQG78KJR3ZWT35LQKM,Thu Jun 04 14:39:57 PDT 2015,Thu Jun 04 14:41:02 PDT 2015,Thu Jun 04 15:05:41 PDT 2015,VMware,18000
31HQ4X3T3TNSDWBVBRPZ2IJSPE3SLY,A2F6ZON8X5EAGL,37VUR2VJ6A2XUOK2VSCEEFBDQKL1CQ,Thu Jun 04 15:54:43 PDT 2015,Thu Jun 04 15:55:25 PDT 2015,2015-06-04 23:57:44 UTC,VMware,18000
34Q075JO1YQFMGNF9FOW8X4VWGI10H,ANFWGSQ8BQRZ,37VE3DA4YUUPOUDAJHJ4VIL2POHBHS,Thu Jun 04 16:36:34 PDT 2015,Thu Jun 04 16:38:35 PDT 2015,2015-06-05 00:42:47 UTC,VMware,18000
3ZSY5X72NYOOI2EF9U5M4PIQYISORS,A2I159VITLD19Y,3JUDR1D0D648DACHJEDN33AZM6SQ2V,Fri Jun 05 03:17:49 PDT 2015,Fri Jun 05 03:17:59 PDT 2015,2015-06-05 11:22:37 UTC,VMware,18000
3C8HJ7UOP879KQFU6VKMYOVKCZ0MZ8,A2I159VITLD19Y,302U8RURJZEW74XRRW5H1EC5ETYVNL,Fri Jun 05 04:44:20 PDT 2015,Fri Jun 05 04:44:30 PDT 2015,2015-06-05 12:47:38 UTC,VizExplorer,60
3NAPMVF0ZXS0TC5VDI9JSVONW0227Z,A3CC9BWPLAR31J,31SIZS5W59SPHUT2Y4SO4BI7YXFQRF,Thu Jun 04 16:22:56 PDT 2015,Thu Jun 04 16:23:39 PDT 2015,2015-06-05 00:27:55 UTC,Visa Inc,9500
34X6J5FLPUBA5Q8IG2OHR3RZ32JQJD,A2I159VITLD19Y,3XBXDSS888WYNTZ1FYQKC751P96XLO,Fri Jun 05 04:32:47 PDT 2015,Fri Jun 05 04:32:59 PDT 2015,2015-06-05 12:37:38 UTC,Virtual Fleet Supervisor,10
33LKR6A5KFXG2PK67HC6S860TRBT1H,A1WX1XX58WCVTS,3UAU495MII5ECA83NLVPKHARQV2OUA,Thu Jun 04 15:25:29 PDT 2015,Thu Jun 04 15:26:16 PDT 2015,2015-06-04 23:27:47 UTC,Vimicro International Corporation,324
30LSNF239V8XIWMRW9DGJKEWAHG2IZ,A3N6Z886JPK4BG,3G57RS03HHIJKOTJZMPK5SF8QA552X,Fri Jun 05 04:25:00 PDT 2015,Fri Jun 05 04:26:24 PDT 2015,Fri Jun 05 04:35:58 PDT 2015,Versik Analytics  Inc.,6170
3IUZPWIU1PKA07AMAWNZK79Y6SYWKK,A2I159VITLD19Y,35XW21VSVGRQRCD2LOKXDZO9AU4SLB,Fri Jun 05 04:16:10 PDT 2015,Fri Jun 05 04:16:23 PDT 2015,Fri Jun 05 04:37:39 PDT 2015,Verizon Communications,195400
3TUI152ZZC03A9SEQDIBN3VD9LFQ15,A1XOXGWBAN6HEJ,3GMLHYZ0LEAQ6OC5T84NM88T46TUYL,Fri Jun 05 03:03:27 PDT 2015,Fri Jun 05 03:33:01 PDT 2015,Fri Jun 05 04:35:58 PDT 2015,Verizon Communications,195400
3WAKVUDHUXT9DOEXW2JPYEJFFSPU7F,A3N6Z886JPK4BG,371Q3BEXDHMAW1U60PB6LEZ7P3CSZU,Fri Jun 05 04:45:41 PDT 2015,Fri Jun 05 04:52:18 PDT 2015,2015-06-05 12:52:42 UTC,Verisign  Inc.,1061
32N49TQG3HVR951V8V5E4RNOU6XAV2,A3RUUTINBKU8YE,378G7J1SJLB5SNKJO77UXT1A796WEC,Thu Jun 04 15:25:55 PDT 2015,Thu Jun 04 15:37:29 PDT 2015,2015-06-04 23:38:02 UTC,Verisign  Inc.,1061
3PDJHANYK6TL42U8DT7Y9LUTQ8ZH6W,A3CC9BWPLAR31J,3MQKOF1EE2100H6JSCWARBJP7X6DW1,Thu Jun 04 16:21:03 PDT 2015,Thu Jun 04 16:22:10 PDT 2015,2015-06-05 00:22:49 UTC,VeriFone Systems  Inc,5200
30MVJZJNHNQ4DRRWZ0DV581AT2DJ9I,A2I159VITLD19Y,341YLJU21ICVWCOY668EU1JDVWBI2K,Fri Jun 05 03:42:13 PDT 2015,Fri Jun 05 03:42:27 PDT 2015,Fri Jun 05 04:37:36 PDT 2015,VeriFone Systems  Inc,5200
3KWTYT0871GR7UDKZVCR9790BUY5LC,AEK2SAEL9GG39,3D17ECOUOE89HOOJ2Z1DLC7JK7813S,Thu Jun 04 16:28:51 PDT 2015,Thu Jun 04 16:29:25 PDT 2015,2015-06-05 00:32:47 UTC,Velocify,150
3IAS3U3I0GTNVO8LQZLZXXAJFRU2BO,A2I159VITLD19Y,3CO05SML7VI1T1O3H6Y9P5RPLUB0RN,Fri Jun 05 04:00:48 PDT 2015,Fri Jun 05 04:00:59 PDT 2015,Fri Jun 05 04:37:44 PDT 2015,Veeva Systems,951
3S06PH7KSSH9L0O9LRCRN4OEQ5RD1M,AEK2SAEL9GG39,389A2A304OVXNZZKZ98E0AS3LSFC0Y,Thu Jun 04 16:29:25 PDT 2015,Thu Jun 04 16:29:50 PDT 2015,2015-06-05 00:32:48 UTC,Varrow,135
39GXDJN2OURDQH8GBXL080HT4J1V8P,A2I159VITLD19Y,34D9ZRXCYR79VTMYOXV74L8YGI5SAT,Fri Jun 05 03:39:06 PDT 2015,Fri Jun 05 03:39:22 PDT 2015,Fri Jun 05 04:37:37 PDT 2015,Varian Medical Systems,6800
3I33IC7ZWGFICE3TKLL32MQDX87A2X,AEK2SAEL9GG39,3IVEC1GSLPCK22Q85KT01JO8G4U1J4,Thu Jun 04 16:02:34 PDT 2015,Thu Jun 04 16:04:15 PDT 2015,2015-06-05 00:07:44 UTC,UTStarcom,6400
3N4BPTXIO95X83LHFW8Y2JO1LCLKU7,A2QQY4S73JO639,3I7SHAD35M9OEWBVXXN1IL72NLH7M5,Fri Jun 05 03:02:58 PDT 2015,Fri Jun 05 03:11:44 PDT 2015,2015-06-05 11:12:38 UTC,UST Global,15000
36DSNE9QZ6B7KEV21PWD2YWZO0XJOS,A3CC9BWPLAR31J,3X55NP42EOTCYG7LN1C3M8PHNNE3PY,Thu Jun 04 16:22:10 PDT 2015,Thu Jun 04 16:22:55 PDT 2015,2015-06-05 00:27:54 UTC,USA Technologies  Inc,56
3RU7GD8VPP6I4HQT3JI6JZSCUO7SPZ,AYALPYEQ512PP,304QEQWKZPXYWOWNPEH5VAMKA6XO06,Thu Jun 04 16:54:17 PDT 2015,Thu Jun 04 16:55:26 PDT 2015,2015-06-05 00:57:48 UTC,United Technologies Corporation,218300
3E1QT0TDFQM84BOGCQMHTBRZWH7I8H,A2I159VITLD19Y,3PN6H8C9R433T43GR70I9MMYFFVADH,Fri Jun 05 04:15:49 PDT 2015,Fri Jun 05 04:16:09 PDT 2015,Fri Jun 05 04:36:08 PDT 2015,United Technologies Corporation,218300
3MMN5BL1W0H8ZX81LOPDUNQ5X4Z3MQ,A2I159VITLD19Y,3J5XXLQDHMOP304H9DL2S0EZ9C7V35,Fri Jun 05 04:11:49 PDT 2015,Fri Jun 05 04:11:59 PDT 2015,Fri Jun 05 04:36:01 PDT 2015,Ultratech,342
382M9COHEISUM3T7JAXV4OBW1FRUEZ,A2I159VITLD19Y,3VADEH0UHCAGIXS0DGD4UGXTF45SP9,Fri Jun 05 03:54:03 PDT 2015,Fri Jun 05 03:54:18 PDT 2015,Fri Jun 05 04:35:21 PDT 2015,Ultra Clean,1564
30LB5CDZNDNCHC8NHQXO0RO79WV0Z7,A2I159VITLD19Y,3MA5N0ATTCO8ENCTKTIXVOEFR7UWKQ,Fri Jun 05 03:13:50 PDT 2015,Fri Jun 05 03:14:04 PDT 2015,2015-06-05 11:17:38 UTC,Ubiquiti Networks,312
38F5OAUN5OP4828DW3CQFZUPLKLH7Z,A2I159VITLD19Y,3DTJ4WT8BDS9MIPOZUR1WXVSOC2ZEZ,Fri Jun 05 03:50:58 PDT 2015,Fri Jun 05 03:51:09 PDT 2015,Fri Jun 05 04:37:45 PDT 2015,Ubiquiti Networks,312
3LWJHTCVCDZU0OMMXCXWC5Z7AV2QFA,A1XOXGWBAN6HEJ,39XCQ6V3KYH72PCKMO1NV5WK6F756E,Fri Jun 05 04:31:48 PDT 2015,Fri Jun 05 05:09:39 PDT 2015,2015-06-05 13:12:45 UTC,Tyco International,69000
3QL2OFSM97V2UFPKQIFE05JZ87OCNZ,A2I159VITLD19Y,3O2Y2UIUCQ7631QYU48XR0SFW45FKC,Fri Jun 05 04:47:35 PDT 2015,Fri Jun 05 04:48:54 PDT 2015,2015-06-05 12:52:40 UTC,Two Toasters,25
3LKC68YZ3BGTQYV18OFSROQ7QVZWOR,A2QVMCGDLTWV9,3HJ1EVZS2OWXATN00TGSR3PWO523RQ,Thu Jun 04 14:21:04 PDT 2015,Thu Jun 04 14:21:57 PDT 2015,Thu Jun 04 14:41:49 PDT 2015,Twitter Inc,3638
3L0KT67Y8FTCDVIUU6EPWQLOYT8YSX,A3CC9BWPLAR31J,3W0XM68YZP8FDMWQN5TC2YOLVTU1K3,Thu Jun 04 15:55:16 PDT 2015,Thu Jun 04 15:55:38 PDT 2015,2015-06-04 23:57:44 UTC,Twitter Inc,3638
3L4PIM1GQUT0CGIHFHEK6GGSCSSYRE,A3N6Z886JPK4BG,3WJGKMRWVIMRMJ0EBLW9FHCMFIGCDL,Fri Jun 05 04:12:18 PDT 2015,Fri Jun 05 04:13:25 PDT 2015,Fri Jun 05 04:35:23 PDT 2015,Twitter Inc,3638
33LK57MYLUICILSZQSG8AXUQ4OESZM,A2I159VITLD19Y,3BC9H1KCYUP3YS1AO8JO4WTQPM3WYL,Fri Jun 05 03:44:44 PDT 2015,Fri Jun 05 03:44:56 PDT 2015,Fri Jun 05 04:37:44 PDT 2015,Twitter Inc,3638
3UWN2HHPUZII1WEGN45EFANHUA9NS3,A2I159VITLD19Y,3TFJJUELSH24J92YEWCSJYLIIRR2C2,Fri Jun 05 04:33:00 PDT 2015,Fri Jun 05 04:33:07 PDT 2015,2015-06-05 12:37:38 UTC,Twilo,232
3LJ7UR74RIQZZBC5X39WH77BGTXN4L,A2QVMCGDLTWV9,3QHITW7OYOMXID7LWT629LTXYTRAQR,Thu Jun 04 14:39:11 PDT 2015,Thu Jun 04 14:39:56 PDT 2015,Thu Jun 04 14:41:51 PDT 2015,TripAdvisor,2793
3R6BYFZZP8PE9LNYJQSO6DV07YMFXT,A2I159VITLD19Y,36FQTHX3Z34AUM6B4WU2ROKS6KRB3F,Fri Jun 05 03:40:13 PDT 2015,Fri Jun 05 03:40:25 PDT 2015,Fri Jun 05 04:37:39 PDT 2015,Trimble Navigation,8217
3BEFOD78W76THTR5L2UW4SIBB3T4M8,A3CC9BWPLAR31J,3R6RZGK0XFPQJ315YYESIUACIC9VYG,Thu Jun 04 16:19:41 PDT 2015,Thu Jun 04 16:21:02 PDT 2015,2015-06-05 00:22:49 UTC,TransAct Technologies Incorporated,129
3LRKMWOKB6UJDMB1WD12JFHM6UIZ2T,A2I159VITLD19Y,3FTID4TN8LBNNYPBKUCMVLCARFZLYH,Fri Jun 05 04:39:36 PDT 2015,Fri Jun 05 04:39:43 PDT 2015,2015-06-05 12:42:38 UTC,Tracker Corp,40
3IGI0VL648X334MNGNO5V5DGXL6ON7,A2I159VITLD19Y,3KTZHH2ONISSEAGE72F7WL3XY5MM86,Fri Jun 05 04:43:32 PDT 2015,Fri Jun 05 04:43:44 PDT 2015,2015-06-05 12:47:38 UTC,Tower Cloud,61
3QXNC7EIPJ8XBLQADS3PN3MEUTA904,A2I159VITLD19Y,3UEDKCTP9V3TO8BSCLAL38FYYGM7K0,Fri Jun 05 04:34:45 PDT 2015,Fri Jun 05 04:34:57 PDT 2015,2015-06-05 12:37:38 UTC,Touchsuite,52
3X0H8UUIT218OQNUF5W1BT08NMDWS3,A3N6Z886JPK4BG,3ODOP6T3ASX1O5PJLH6A009UQEA24P,Fri Jun 05 04:45:37 PDT 2015,Fri Jun 05 04:51:15 PDT 2015,2015-06-05 12:52:41 UTC,Total System Services  Inc.,9900
37TRT2X24R4N1K6TXKRRWEW0H1CBJE,A2F6ZON8X5EAGL,37VUR2VJ6A2XUOK2VSCEEFBDQKLC11,Thu Jun 04 15:43:58 PDT 2015,Thu Jun 04 15:48:02 PDT 2015,2015-06-04 23:52:45 UTC,Toshiba,200260
3PMBY0YE28GH5DLQP8W9I4OF3HZC9Q,A3RUUTINBKU8YE,3KVQ0UJWPXY5W4RQD6ERTZVXUG85WL,Thu Jun 04 15:13:53 PDT 2015,Thu Jun 04 15:25:57 PDT 2015,2015-06-04 23:27:47 UTC,Tivo,625
3DH6GAKTYZ29E748PY8XSJIRL9AYZ6,A2I159VITLD19Y,3VEI3XUCZRA4HISNYRDZ46SXT2MPRI,Fri Jun 05 03:54:49 PDT 2015,Fri Jun 05 03:55:04 PDT 2015,Fri Jun 05 04:35:21 PDT 2015,Tivo,625
36PW28KO409A7UF9D5G44NZ2UCXAE1,A1XOXGWBAN6HEJ,373L46LKP7JM83CUDUZI6YK7PBMKJK,Fri Jun 05 03:03:24 PDT 2015,Fri Jun 05 03:31:14 PDT 2015,2015-06-05 11:32:37 UTC,Time Warner Cable,51600
3NJM2BJS4XJ2X01X6XS64UOU8MMPC5,A2I159VITLD19Y,31KPKEKW4AQEDU7EL9CJPQML387B0K,Fri Jun 05 03:54:19 PDT 2015,Fri Jun 05 03:54:34 PDT 2015,Fri Jun 05 04:37:32 PDT 2015,Thoratec,954
37W3JXSD67L5KCZ3EBOQTFO9479YWJ,A2I159VITLD19Y,3NFWQRSHVER11FUF4DNIT80MPNOFG9,Fri Jun 05 04:36:36 PDT 2015,Fri Jun 05 04:36:49 PDT 2015,2015-06-05 12:37:39 UTC,Think Tech Labs,16
3A4TN5196LVAKJ39NKK1VLM3MU7HCL,A2F6ZON8X5EAGL,3SBNLSTU6UI4UCBO3ZGHQFD7OZADZR,Thu Jun 04 15:37:04 PDT 2015,Thu Jun 04 15:39:19 PDT 2015,2015-06-04 23:43:11 UTC,The Digital Development Group  Corp.,7
3GU1KF0O4JEJNV9RSXWBTAICQ0JPBT,A3CC9BWPLAR31J,3APP19WN71R5IM143KKEZ2N9WNT6G3,Thu Jun 04 16:08:51 PDT 2015,Thu Jun 04 16:10:12 PDT 2015,2015-06-05 00:12:48 UTC,The Descartes Systems Group Inc,938
39LNWE0K4V9628VTFTNMP39OT8YUI8,A3N6Z886JPK4BG,3S8APUMBJXW5AYM4ORV4SX9P9AWFBS,Fri Jun 05 03:55:40 PDT 2015,Fri Jun 05 03:56:43 PDT 2015,Fri Jun 05 04:36:11 PDT 2015,Texas Instruments,34759
3YOH7BII0AKXLIAHKMI3Y5QKZIPKVP,A2QVMCGDLTWV9,351S7I5UG99NG9XXA7RYYQ1BJ5YNJX,Thu Jun 04 14:43:30 PDT 2015,Thu Jun 04 14:44:15 PDT 2015,Thu Jun 04 15:05:39 PDT 2015,Texas Instruments,34759
3DR23U6WE6RFMQEIJ57LZSPUI0GTE1,A3CC9BWPLAR31J,3OZ4VAIBEXS0OE66CYDP87VO581JVB,Thu Jun 04 15:42:17 PDT 2015,Thu Jun 04 15:43:35 PDT 2015,2015-06-04 23:47:53 UTC,Texas Instruments,34759
