AssignmentId,HITId,WorkerId,AcceptTime,SubmitTime,ApprovalTime,Answer.state,Answer.gdp
304SM51WA4HG0NPJKE05OFNNA68SBZ,3X0EMNLXEP2WAP947BI953HZCCGVP2,APLQSM4J9E6LR,Thu Apr 23 04:46:34 PDT 2015,Thu Apr 23 04:46:46 PDT 2015,2015-04-23 12:47:38 UTC,Wyoming,35310.00
3NPFYT4IZDHKNLJTUAY6OYVC51FGXV,3PZDSVZ3J5UXDREC704USOCRZDI4N3,A1A3UEP77EU2RN,Fri Apr 24 22:51:18 PDT 2015,Fri Apr 24 22:51:25 PDT 2015,2015-04-25 06:52:43 UTC,Wyoming,35000.00
3MTMREQS4WV4OU10Y5AAQT62Y39WAH,32K26U12DN1NLS6E22RE590AYTEDV7,A22XGLSLP1SE1Z,Fri Apr 24 07:08:13 PDT 2015,Fri Apr 24 07:09:00 PDT 2015,2015-04-24 15:12:38 UTC,Wyoming,437.00
3IUZPWIU1PKA07AMAWNZK79Y3A6WKP,3JVP4ZJHDP5O02LKRJ40BDQXW290I4,AYALPYEQ512PP,Wed Apr 22 09:20:42 PDT 2015,Wed Apr 22 09:20:59 PDT 2015,2015-04-22 17:22:38 UTC,Wyoming,35310.00
33LKR6A5KFXG2PK67HC6S860QFD1T0,3WRBLBQ2GRLA4BFP1V4XQ1DHHPH0GC,A3VOV4F5L8131I,Fri Apr 24 02:25:00 PDT 2015,Fri Apr 24 02:25:13 PDT 2015,2015-04-24 10:27:40 UTC,Wisconsin,240429.00
3VFJCI1K40C0QPXHLBSEZG9O4MVGR4,37ZQELHEQ0BDHH3ID44QEITRL43NMH,A1PX3VHCGYY0XS,Sat Apr 25 11:41:03 PDT 2015,Sat Apr 25 11:41:20 PDT 2015,2015-04-25 19:42:38 UTC,Wisconsin,38.79
3VHHR074H4U6UYR3NORO7RNWZJ97L8,37Y5RYYI0PILR6URZ7NLOTJVF7VXSN,ANB51V4Y2O7FR,Wed Apr 22 10:54:34 PDT 2015,Wed Apr 22 10:55:04 PDT 2015,2015-04-22 18:57:42 UTC,Wisconsin,240429.00
3ATTHHXXWB1YJCPOKYY99A8SKE7XI4,3BO3NEOQM0UK1FJ2JL1T0J2A5OKAI4,A1MW021IG07IMF,Fri Apr 24 23:14:51 PDT 2015,Fri Apr 24 23:15:36 PDT 2015,2015-04-25 07:17:42 UTC,Wisconsin,240429.00
3ZV9H2YQQEK4492FPQV03LSWSU3W39,3OZ4VAIBEXS0OE66CYDP87VN3DAVJ2,A1A3UEP77EU2RN,Fri Apr 24 22:51:08 PDT 2015,Fri Apr 24 22:51:17 PDT 2015,2015-04-25 06:52:43 UTC,Wisconsin,240000.00
3IXQG4FA2UBYV8TKB80E7KIXIHV9BF,324N5FAHSXOVZYCOUJD19MV0I2AVK1,A2CGIO3YQYJ92M,Thu Apr 23 00:23:14 PDT 2015,Thu Apr 23 00:23:42 PDT 2015,2015-04-23 08:27:36 UTC,Wisconsin,0.24
3PB5A5BD0WJQ86D2CXU8UZIO3207GF,3JAOYN9IHLF5RR2YP3FW95MFGWW332,A1VHFLDO4EPKT4,Wed Apr 22 12:35:39 PDT 2015,Wed Apr 22 12:36:09 PDT 2015,2015-04-22 20:37:36 UTC,Wisconsin,245277.00
3NS0A6KXC5L9SGJ8VSMRLJBNDVWZGI,34R3P23QHSEHCXBLE8F0IWYMXU8HWT,AYALPYEQ512PP,Wed Apr 22 10:08:07 PDT 2015,Wed Apr 22 10:08:44 PDT 2015,2015-04-22 18:12:41 UTC,Wisconsin,245277.00
3B1NLC6UG09FECH28JOPUL99348GPD,3A9LA2FRWSRW1XGBODBMKFCT6WEHXM,A36F8C2Z3E07TA,Sat Apr 25 12:02:21 PDT 2015,Sat Apr 25 12:08:40 PDT 2015,2015-04-25 20:12:38 UTC,Wisconsin,240000.00
3Y5140Z9DYTTA3NXY7OSFXMPIFIPIS,3SR6AEG6W56L126LT9XO3TJ2828HYS,ALDKDKRBR4LXD,Fri Apr 24 19:31:25 PDT 2015,Fri Apr 24 19:31:52 PDT 2015,2015-04-25 03:32:39 UTC,Wisconsin,245300.00
3FTF2T8WLSVQJBRV6ZWAUYVISLRW92,3YZ7A3YHR56CPNAHT14QWASBM8M5SM,A22XGLSLP1SE1Z,Fri Apr 24 07:07:12 PDT 2015,Fri Apr 24 07:08:12 PDT 2015,2015-04-24 15:12:38 UTC,Wisconsin,2453.00
337RC3OW06F85OSZ5MU4D53ZLABVL1,3FVBZG9CLJRO47A0L1MFB1PIWPU0HB,A39YPFUJEDE08X,Sun Apr 26 13:24:29 PDT 2015,Sun Apr 26 13:24:54 PDT 2015,2015-04-26 21:27:37 UTC,Wisconsin,240.43
3GA6AFUKOP1M7J7QUR902II9D053HJ,30UZJB2POHP856P23M3PO2KZUSN35S,APLQSM4J9E6LR,Wed Apr 22 09:00:31 PDT 2015,Wed Apr 22 09:00:49 PDT 2015,2015-04-22 17:02:40 UTC,Wisconsin,240429.00
3ZAK8W07I5RVVDEDB3YGJZ9S41NU0Q,3SD15I2WD274OAPG85DUG8YZQNY368,A1EVP0WFE4VLH9,Fri Apr 24 07:01:21 PDT 2015,Fri Apr 24 07:01:45 PDT 2015,2015-04-24 15:02:39 UTC,Wisconsin,240429.00
3GU1KF0O4JEJNV9RSXWBTAICNQDPB0,3ZTE0JGGCE5IQGR31UAPQBOKH04CO3,A318XRHKXAUZHP,Sat Apr 25 11:09:54 PDT 2015,Sat Apr 25 11:30:30 PDT 2015,2015-04-25 19:32:40 UTC,Wisconsin,239.15
3TS1AR6UQRRKU6H71DOQCEIC2NF7FV,3WPCIUYH1AL8802PX7RZ4RCP18YDTR,AYALPYEQ512PP,Wed Apr 22 09:03:54 PDT 2015,Wed Apr 22 09:04:18 PDT 2015,2015-04-22 17:07:38 UTC,Wisconsin,240429.00
3FE7TXL1LJ0AZUAA9HIPSM5IYCSQ2O,3P520RYKCHJS402LI6ZQBBAZ7575U2,APLQSM4J9E6LR,Thu Apr 23 00:42:24 PDT 2015,Thu Apr 23 00:42:45 PDT 2015,2015-04-23 08:47:36 UTC,Wisconsin,240429.00
3WR9XG3T64OAWQKIHWS7LALLD1674F,3IHWR4LC7DQ6IRQNMNHF4SWFF0L8IZ,A1C2X7GXX7Z6FE,Thu Apr 23 13:30:10 PDT 2015,Thu Apr 23 13:30:38 PDT 2015,2015-04-23 21:33:04 UTC,Wisconsin,240429.00
3X4JMASXCNMGZE57BCHLE9H4FCT0BK,3IHWR4LC7DQ6IRQNMNHF4SWFF0L8IZ,ANB51V4Y2O7FR,Wed Apr 22 17:49:44 PDT 2015,Wed Apr 22 17:50:06 PDT 2015,2015-04-23 01:52:36 UTC,Wisconsin,240429.00
3E337GFOLALFBR5PS4BXQW4E3PZNGG,3RZS0FBRWKN0BG34GUN4FBTAR50CPK,AOCZ2532BJZF3,Sat Apr 25 23:08:00 PDT 2015,Sat Apr 25 23:08:23 PDT 2015,2015-04-26 07:12:36 UTC,Wisconsin,222106.00
31EUONYN2WGGB9VWIEAW5M7TGAPVOH,3Z8UJEJOCZQR6TRE6CG60IP1GO639J,A2KNE9E89YLQ3A,Thu Apr 23 18:43:34 PDT 2015,Thu Apr 23 18:43:43 PDT 2015,2015-04-24 02:47:38 UTC,Wisconsin,240.43
3F6HPJW4JEDFJR6WLQHVKBN4MIT2WY,3KG2UQJ0MJ142W1A5XB7VRDWV50NQ4,A3IDJZM7H7WRU7,Sat Apr 25 20:11:56 PDT 2015,Sat Apr 25 20:12:11 PDT 2015,2015-04-26 04:12:38 UTC,Wisconsin,240429.00
3NVC2EB65RC8TEXF4RDOOIDC35MY3Z,3GKAWYFRAP6AG89IGQIFZHBSC5DDPM,A39YPFUJEDE08X,Sun Apr 26 13:13:48 PDT 2015,Sun Apr 26 13:14:17 PDT 2015,2015-04-26 21:17:39 UTC,West Virginia,61.65
3YT88D1N09BD998Y0CCXFAY15HU3K8,31HLTCK4BL8QXCG54SSMBU37BLTVGY,A1VHFLDO4EPKT4,Wed Apr 22 12:35:03 PDT 2015,Wed Apr 22 12:35:25 PDT 2015,2015-04-22 20:37:36 UTC,West Virginia,61928.00
33OOO72IVIY0PSU4NE1Q94PRUBECT9,3KLL7H3EGDE4X8BGOYA4WUF8QL6VHX,A1C2X7GXX7Z6FE,Thu Apr 23 13:37:08 PDT 2015,Thu Apr 23 13:37:30 PDT 2015,2015-04-23 21:37:47 UTC,West Virginia,61652.00
37QW5D2ZRHZXYPRCH2GVXDXM2XQ8SD,3KLL7H3EGDE4X8BGOYA4WUF8QL6VHX,ANB51V4Y2O7FR,Wed Apr 22 11:16:26 PDT 2015,Wed Apr 22 11:16:58 PDT 2015,2015-04-22 19:17:39 UTC,West Virginia,61652.00
33LK57MYLUICILSZQSG8AXUQ1GRSZG,3MYASTQBG7OVGKAXG3X4ZM12H1ZDQD,A2PAX92BHHMAPP,Mon Apr 27 08:11:27 PDT 2015,Mon Apr 27 08:12:14 PDT 2015,2015-04-27 16:12:40 UTC,West Virginia,61652.00
3OJSZ2ATDT9SS9OIV1BHQ2RZDY057J,37ZQELHEQ0BDHH3ID44QEITRL43NMH,A1EVP0WFE4VLH9,Fri Apr 24 06:48:22 PDT 2015,Fri Apr 24 06:48:57 PDT 2015,2015-04-24 14:52:39 UTC,West Virginia,61652.00
3VHHR074H4U6UYR3NORO7RNWZMAL7T,37ZQELHEQ0BDHH3ID44QEITRL43NMH,APLQSM4J9E6LR,Thu Apr 23 04:43:50 PDT 2015,Thu Apr 23 04:44:04 PDT 2015,2015-04-23 12:47:37 UTC,West Virginia,61652.00
3IXQG4FA2UBYV8TKB80E7KIXIOZ9BX,3DIIW4IV8P85ZQ3LAKR2NGGADEO4IN,AOCZ2532BJZF3,Sun Apr 26 06:54:33 PDT 2015,Sun Apr 26 06:54:58 PDT 2015,2015-04-26 14:57:39 UTC,West Virginia,52364.00
3VJ40NV2QJ01YHR7DJAH44J8JQVTON,382GHPVPHS4Q9NL2PHKFJAELUWS34N,A22XGLSLP1SE1Z,Fri Apr 24 07:04:47 PDT 2015,Fri Apr 24 07:07:12 PDT 2015,2015-04-24 15:07:41 UTC,West Virginia,619.00
3OHYZ19UGDIWJLSY7JJ09ZTGV2WOAL,3WRBLBQ2GRLA4BFP1V4XQ1DHHPH0GC,A1A3UEP77EU2RN,Fri Apr 24 22:50:59 PDT 2015,Fri Apr 24 22:51:07 PDT 2015,2015-04-25 06:52:43 UTC,West Virginia,62000.00
33C7UALJVMBX45SI4J1B1CADC1F18W,3SD15I2WD274OAPG85DUG8YZQNY368,A2KNE9E89YLQ3A,Thu Apr 23 18:43:25 PDT 2015,Thu Apr 23 18:43:33 PDT 2015,2015-04-24 02:47:38 UTC,West Virginia,61.65
3N2BF7Y2VR7NT5F009EFYHRFDSZHMS,30U1YOGZGA97T0PA87M9UMG3ZPKDS2,ANB51V4Y2O7FR,Wed Apr 22 17:57:39 PDT 2015,Wed Apr 22 17:57:57 PDT 2015,2015-04-23 02:02:36 UTC,West Virginia,61652.00
33L7PJKHCHBYDP4R62LL7IT84NET8B,3WPCIUYH1AL8802PX7RZ4RCP18YDTR,A1PX3VHCGYY0XS,Sat Apr 25 11:40:38 PDT 2015,Sat Apr 25 11:40:58 PDT 2015,2015-04-25 19:42:38 UTC,West Virginia,28.03
3JCG6DTRV43RRDCVBS8QO43LENQQQW,3R0WOCG21MMN8DHEXCH99NYRKM5DUI,A3IDJZM7H7WRU7,Sat Apr 25 20:17:22 PDT 2015,Sat Apr 25 20:17:43 PDT 2015,2015-04-26 04:22:36 UTC,West Virginia,61652.00
3K9FOBBF2IWVXJJQ3V8D3O9MZ3WNLR,30P8I9JKOIYSHFRLNW9V7XCILCG5VR,A3VOV4F5L8131I,Fri Apr 24 02:30:27 PDT 2015,Fri Apr 24 02:30:41 PDT 2015,2015-04-24 10:32:40 UTC,West Virginia,61652.00
3VELCLL3GLW6JK25CX7HB4RZZ821FT,3W0KKJIARRMXOMGBMQ2RH8BS74A8KA,A1MW021IG07IMF,Fri Apr 24 23:22:50 PDT 2015,Fri Apr 24 23:23:02 PDT 2015,2015-04-25 07:27:41 UTC,West Virginia,61652.00
38F5OAUN5OP4828DW3CQFZUPI8ZH7M,3RZS0FBRWKN0BG34GUN4FBTAR50CPK,ALDKDKRBR4LXD,Fri Apr 24 19:56:13 PDT 2015,Fri Apr 24 19:56:58 PDT 2015,2015-04-25 03:57:38 UTC,West Virginia,61900.00
35GMH2SV3FUZ9Y9ANOLM5IJ7GDVEOZ,3O71U79SRB2AXUVNL0LCDC3X83BSMY,A2CGIO3YQYJ92M,Thu Apr 23 00:29:39 PDT 2015,Thu Apr 23 00:29:58 PDT 2015,2015-04-23 08:32:36 UTC,West Virginia,0.06
37UQDCYH6Y89Q33X1STUU0LYQH3V77,3R0WOCG21MMN8DHEXCH99NYRKM5DUI,AYALPYEQ512PP,Wed Apr 22 09:16:09 PDT 2015,Wed Apr 22 09:16:37 PDT 2015,2015-04-22 17:17:40 UTC,West Virginia,61652.00
3DH6GAKTYZ29E748PY8XSJIRIRNZYH,309D674SHZYY7M2UXP53KROLA1MBCZ,AYALPYEQ512PP,Wed Apr 22 10:07:29 PDT 2015,Wed Apr 22 10:08:02 PDT 2015,2015-04-22 18:12:41 UTC,West Virginia,61928.00
320DUZ38G8ZJS1E4D6J5XPNXUYQJGQ,31HLTCK4BL8QXCG54SSMBU37BLTVGY,ANB51V4Y2O7FR,Wed Apr 22 17:43:39 PDT 2015,Wed Apr 22 17:44:03 PDT 2015,2015-04-23 01:47:38 UTC,Washington,322778.00
3PS7W85Z80FYRUN1BURZ7EOJOMVT9L,3KLL7H3EGDE4X8BGOYA4WUF8QL6VHX,A1VHFLDO4EPKT4,Wed Apr 22 12:33:57 PDT 2015,Wed Apr 22 12:34:46 PDT 2015,2015-04-22 20:37:36 UTC,Washington,351857.00
3R08VXYT7D8M5S32R2YQG24CXYF7WJ,3KWGG5KP6JFUQD6ROEVCY7ZFM0PCMO,A3IDJZM7H7WRU7,Sat Apr 25 20:10:18 PDT 2015,Sat Apr 25 20:10:35 PDT 2015,2015-04-26 04:12:37 UTC,Washington,322778.00
3D3VGR7TA1SZWDLTQWLUGMKF0FOR31,3JUDR1D0D648DACHJEDN33AYKA9Q2G,A1A3UEP77EU2RN,Fri Apr 24 22:50:51 PDT 2015,Fri Apr 24 22:50:58 PDT 2015,2015-04-25 06:52:42 UTC,Washington,323000.00
3TPZPLC3M1PEK05ED4H5BRK0ZX1P38,3OZ4VAIBEXS0OE66CYDP87VN3DAVJ2,A1MW021IG07IMF,Fri Apr 24 23:11:26 PDT 2015,Fri Apr 24 23:11:43 PDT 2015,2015-04-25 07:12:42 UTC,Washington,322778.00
3VP0C6EFSH97WGVJ4QNB1Q2P4LTM6K,3UEDKCTP9V3TO8BSCLAL38FXWK37KL,A1PX3VHCGYY0XS,Sat Apr 25 11:40:15 PDT 2015,Sat Apr 25 11:40:34 PDT 2015,2015-04-25 19:42:38 UTC,Washington,46.96
3GM6G9ZBKOADYE6V03V4C0U3OQGTM8,3BFNCI9LYK3NSA3LRFIMMMYVLYI377,A22XGLSLP1SE1Z,Fri Apr 24 07:04:15 PDT 2015,Fri Apr 24 07:04:47 PDT 2015,2015-04-24 15:07:40 UTC,Washington,3519.00
3Q8GYXHFEQFY4QJEMIJS6OJDE4Y5C9,30Y6N4AHYP9VSLPXTIM44CB7DN1DRE,AYALPYEQ512PP,Wed Apr 22 10:06:57 PDT 2015,Wed Apr 22 10:07:24 PDT 2015,2015-04-22 18:07:38 UTC,Washington,351857.00
323Q6SJS8JTHNVNJEMA23R76GQ9HF5,3TD33TP5DLFAE75WDB9CEWYXAY1BAX,AYALPYEQ512PP,Wed Apr 22 08:58:42 PDT 2015,Wed Apr 22 08:59:07 PDT 2015,2015-04-22 17:02:39 UTC,Washington,322778.00
3DH6GAKTYZ29E748PY8XSJIRIW7YZA,3AC6MFV69KVL6SGQPVZ7H0S4EWCHZJ,A3VOV4F5L8131I,Fri Apr 24 02:22:31 PDT 2015,Fri Apr 24 02:22:51 PDT 2015,2015-04-24 10:27:39 UTC,Washington,322778.00
369J354OFEN746ZXTNPGOLIS8V7G6O,3P7RGTLO6EQB7A9QJOM5DZHNXS9AKF,A2KNE9E89YLQ3A,Thu Apr 23 18:43:16 PDT 2015,Thu Apr 23 18:43:24 PDT 2015,2015-04-24 02:47:38 UTC,Washington,322.78
3LRLIPTPERMDTU7J9RR72IC7BTLKAO,3P7RGTLO6EQB7A9QJOM5DZHNXS9AKF,A2CGIO3YQYJ92M,Thu Apr 23 00:21:03 PDT 2015,Thu Apr 23 00:21:20 PDT 2015,2015-04-23 08:22:37 UTC,Washington,0.32
3PS7W85Z80FYRUN1BURZ7EOJOVZ9TN,3P520RYKCHJS402LI6ZQBBAZ7575U2,AOCZ2532BJZF3,Sun Apr 26 07:01:30 PDT 2015,Sun Apr 26 07:01:50 PDT 2015,2015-04-26 15:02:40 UTC,Washington,309188.00
3L4PIM1GQUT0CGIHFHEK6GGS9AXRY9,3K3G488TR2L0C7V41XFL1ADA4K0Q5H,APLQSM4J9E6LR,Wed Apr 22 08:57:54 PDT 2015,Wed Apr 22 08:58:23 PDT 2015,2015-04-22 17:02:39 UTC,Washington,322778.00
3PJ71Z61R5FXIABS9B7P185OW7K198,3O71U79SRB2AXUVNL0LCDC3X83BSMY,A1C2X7GXX7Z6FE,Thu Apr 23 13:27:36 PDT 2015,Thu Apr 23 13:27:54 PDT 2015,2015-04-23 21:33:03 UTC,Washington,322778.00
3EJPLAJKENT7VNU2JFD59SYYJNV6Z1,32XN26MTXZWQQ3TQCM1D3TIPD62L02,ALDKDKRBR4LXD,Fri Apr 24 19:26:30 PDT 2015,Fri Apr 24 19:26:56 PDT 2015,2015-04-25 03:27:39 UTC,Washington,351900.00
3RJSC4XJ117EAYOYA2Q8BNHC5F405E,32XN26MTXZWQQ3TQCM1D3TIPD62L02,ANB51V4Y2O7FR,Wed Apr 22 10:50:24 PDT 2015,Wed Apr 22 10:51:18 PDT 2015,2015-04-22 18:52:37 UTC,Washington,322778.00
3F1567XTNXILZEV9UQX429DW4KB9QC,3KG2UQJ0MJ142W1A5XB7VRDWV50NQ4,A1EVP0WFE4VLH9,Fri Apr 24 07:04:14 PDT 2015,Fri Apr 24 07:04:44 PDT 2015,2015-04-24 15:07:40 UTC,Washington,322778.00
3TE3O85731LABVPAMW7PXCFNU3QR2W,3OKP4QVBP2A65OD7TX1QF7PUQBSAGC,A1PX3VHCGYY0XS,Sat Apr 25 11:39:54 PDT 2015,Sat Apr 25 11:40:10 PDT 2015,2015-04-25 19:42:38 UTC,Virginia,46.78
3A4TN5196LVAKJ39NKK1VLM3JG0HCJ,3KLL7H3EGDE4X8BGOYA4WUF8QL6HVJ,APLQSM4J9E6LR,Thu Apr 23 08:14:23 PDT 2015,Thu Apr 23 08:14:40 PDT 2015,2015-04-23 16:17:39 UTC,Virginia,397025.00
39LNWE0K4V9628VTFTNMP39OQTMUIZ,31HLTCK4BL8QXCG54SSMBU37BLTVGY,APLQSM4J9E6LR,Thu Apr 23 08:13:23 PDT 2015,Thu Apr 23 08:13:41 PDT 2015,2015-04-23 16:17:39 UTC,Virginia,397025.00
36PW28KO409A7UF9D5G44NZ2RXOAEV,3XAOZ9UYRZ41OPUL0AD9YK0TS4VQ1Z,APLQSM4J9E6LR,Thu Apr 23 08:15:11 PDT 2015,Thu Apr 23 08:15:31 PDT 2015,2015-04-23 16:17:40 UTC,Virginia,397025.00
3ZSY5X72NYOOI2EF9U5M4PIQV3EORH,3ZLW647WAL8G696FL31RQVHNAIW32R,APLQSM4J9E6LR,Thu Apr 23 07:00:31 PDT 2015,Thu Apr 23 07:00:42 PDT 2015,2015-04-23 15:02:38 UTC,Virginia,397025.00
30OG32W0SVOHRD9YM9L9QTJ2Q4MENI,3OID399FXGKYPVKO2NMANNXOAZPFDK,APLQSM4J9E6LR,Thu Apr 23 08:12:55 PDT 2015,Thu Apr 23 08:13:13 PDT 2015,2015-04-23 16:17:39 UTC,Virginia,397025.00
3YDTZAI2WYTWL45GSGBYK0U8AG541G,3HYV4299H09U2MO1Q4ROJDYNN7E8EQ,A22XGLSLP1SE1Z,Fri Apr 24 07:03:05 PDT 2015,Fri Apr 24 07:04:15 PDT 2015,2015-04-24 15:07:40 UTC,Virginia,3981.00
3OF2M9AATH1EU2FRLJ76JB3GKFQZK4,3OLZC0DJ8JS4T3M0UGSPW6GNQYLVIQ,APLQSM4J9E6LR,Thu Apr 23 08:13:14 PDT 2015,Thu Apr 23 08:13:30 PDT 2015,2015-04-23 16:17:39 UTC,Virginia,397025.00
3YT88D1N09BD998Y0CCXFAY15KRK3S,3OZ4VAIBEXS0OE66CYDP87VN3DAVJ2,APLQSM4J9E6LR,Thu Apr 23 08:14:12 PDT 2015,Thu Apr 23 08:14:30 PDT 2015,2015-04-23 16:17:39 UTC,Virginia,397025.00
38YMOXR4MVC31SPX8STYAO4G2I26WG,324N5FAHSXOVZYCOUJD19MV0I2AVK1,APLQSM4J9E6LR,Thu Apr 23 08:12:24 PDT 2015,Thu Apr 23 08:12:43 PDT 2015,2015-04-23 16:17:38 UTC,Virginia,397025.00
3RGU30DZTBLJKBAQO9H0AU7UQM5JM5,30EMX9PEVKWF76VK0O8WYZBTJYGSKT,APLQSM4J9E6LR,Thu Apr 23 07:01:05 PDT 2015,Thu Apr 23 07:01:19 PDT 2015,2015-04-23 15:02:38 UTC,Virginia,397025.00
3SNLUL3WO508S93Z0WKZHJ1G7XDLU1,3G9UA71JVV7YDO5AU0A92TFKHV37JM,APLQSM4J9E6LR,Thu Apr 23 06:58:57 PDT 2015,Thu Apr 23 06:59:30 PDT 2015,2015-04-23 15:02:37 UTC,Virginia,397025.00
33PPUNGG39I0H6SMB3G3KNPUF7KRZP,33TGB4G0LPUM6676O7SBYYFHHQ9XTC,APLQSM4J9E6LR,Thu Apr 23 08:13:31 PDT 2015,Thu Apr 23 08:13:50 PDT 2015,2015-04-23 16:17:39 UTC,Virginia,397025.00
3GA6AFUKOP1M7J7QUR902II9D3NH3L,3A9LA2FRWSRW1XGBODBMKFCT6WEHXM,APLQSM4J9E6LR,Thu Apr 23 08:11:25 PDT 2015,Thu Apr 23 08:11:51 PDT 2015,2015-04-23 16:12:40 UTC,Virginia,397025.00
3ERET4BTVNMZOBXEHLD76N1N5C19KY,3DWNFENNE381U1NRS2C2ZHVAQTD4JZ,APLQSM4J9E6LR,Thu Apr 23 08:15:23 PDT 2015,Thu Apr 23 08:15:42 PDT 2015,2015-04-23 16:17:40 UTC,Virginia,397025.00
3PJ71Z61R5FXIABS9B7P185OW6Y19K,37NXA7GVSTJ6J4U6FJP2OM8F72FVL4,APLQSM4J9E6LR,Thu Apr 23 07:00:43 PDT 2015,Thu Apr 23 07:00:53 PDT 2015,2015-04-23 15:02:38 UTC,Virginia,397025.00
32RIADZISTHWFO4A5ZQIG1HH0E14SF,3SBX2M1TKD0IGOR4NSWBWI7W4O5Q4C,APLQSM4J9E6LR,Thu Apr 23 08:11:01 PDT 2015,Thu Apr 23 08:11:40 PDT 2015,2015-04-23 16:12:40 UTC,Virginia,397025.00
3TY7ZAOG5GXHSH91HPUEDC0U2780KC,3SBX2M1TKD0IGOR4NSWBWI7W4O5Q4C,A2CGIO3YQYJ92M,Thu Apr 23 00:19:40 PDT 2015,Thu Apr 23 00:20:04 PDT 2015,2015-04-23 08:22:36 UTC,Virginia,0.40
3VW6495TLKD99HU3TC6EEC9PCXLYYR,3WRBLBQ2GRLA4BFP1V4XQ1DHHPH0GC,ANB51V4Y2O7FR,Wed Apr 22 10:48:49 PDT 2015,Wed Apr 22 10:49:19 PDT 2015,2015-04-22 18:52:37 UTC,Virginia,397025.00
3LJ7UR74RIQZZBC5X39WH77BDFT4N3,3FVBZG9CLJRO47A0L1MFB1PIWPU0HB,APLQSM4J9E6LR,Thu Apr 23 08:10:03 PDT 2015,Thu Apr 23 08:10:58 PDT 2015,2015-04-23 16:12:40 UTC,Virginia,397025.00
