AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Company,Revenue
30BXRYBRP5AJYH9E4BK27FT6CL5WH9,A3VMQ4E8D1544Y,38B7Q9C28GIQ3CEWPEE47L1LR1I96E,Fri May 08 19:38:34 PDT 2015,Fri May 08 19:39:57 PDT 2015,2015-05-09 03:42:37 UTC,Adobe Systems,4055.24
382M9COHEISUM3T7JAXV4OBWZP1UER,AR5VZOF01EJA9,3UAU495MII5ECA83NLVPKHAQPMMOU9,Fri May 08 19:21:24 PDT 2015,Fri May 08 19:34:16 PDT 2015,2015-05-09 03:37:37 UTC,Adobe Systems,4055.24
3ZAZR5XV02VWB433T6Q8VSQ8GV2ZCR,AYDDIDXTRHXZ5,33KMQD9OFJR5TT48TRLCZ3ABRME77Z,Fri May 08 18:46:52 PDT 2015,Fri May 08 18:47:37 PDT 2015,Fri May 08 19:05:04 PDT 2015,Adobe Systems,4055.24
386CSBG1O0ZYHVTBWJUSIZMUF67Q6X,A1T71UAY8IRUJ6,3I6NF2WGIG99ZI1QY1A97W98ZJ1G5V,Fri May 08 18:48:36 PDT 2015,Fri May 08 18:51:38 PDT 2015,Fri May 08 19:05:11 PDT 2015,Adobe Systems,4055.24
3NQL1CS15SLS5NZYO1JU7D5VV8HVYY,A5C761Y9MWNCA,3XAOZ9UYRZ41OPUL0AD9YK0TTQ61QU,Fri May 08 20:06:40 PDT 2015,Fri May 08 20:07:08 PDT 2015,2015-05-09 04:07:39 UTC,Adobe Systems,4055.24
3NQL1CS15SLS5NZYO1JU7D5VV8FVYW,A1T71UAY8IRUJ6,3J5XXLQDHMOP304H9DL2S0EY82Z3VI,Fri May 08 18:56:37 PDT 2015,Fri May 08 18:57:03 PDT 2015,Fri May 08 19:05:12 PDT 2015,Advanced Micro Devices,5500
3EWIJTFFVPKE6HHRL3JBFHNPJ000EX,A3STVJG6VL4D44,3YGYP13641M4EXGAIC070HN1SDCNRO,Fri May 08 20:35:11 PDT 2015,Fri May 08 20:37:58 PDT 2015,2015-05-09 04:42:37 UTC,Advanced Micro Devices,5500
37XITHEISXMN9DHCJPWV9PO97EJRCQ,ANFWGSQ8BQRZ,3HY86PZXPYVCRM4GRJI943BFANI1EI,Fri May 08 18:45:29 PDT 2015,Fri May 08 18:47:04 PDT 2015,Fri May 08 19:05:11 PDT 2015,Advanced Micro Devices,5500
3TS1AR6UQRRKU6H71DOQCEIC3FKF7T,AR5VZOF01EJA9,3SV8KD29L45C8IHYVG24US8W7ZQKZ9,Fri May 08 19:46:52 PDT 2015,Fri May 08 19:49:45 PDT 2015,2015-05-09 03:52:37 UTC,Advanced Micro Devices,5500
37XITHEISXMN9DHCJPWV9PO97EKCRC,AYALPYEQ512PP,3ZCC2DXSD7H7NXWA391CPTE5ZKVYYR,Fri May 08 18:46:11 PDT 2015,Fri May 08 18:47:56 PDT 2015,Fri May 08 19:05:39 PDT 2015,Advanced Micro Devices,5500
3VA45EW49O00PXFYB0Q7YY0DSUBO1R,A5C761Y9MWNCA,3BDORL6HKKQLNTJJTMRTK6TPT9YRCA,Fri May 08 20:00:54 PDT 2015,Fri May 08 20:01:27 PDT 2015,2015-05-09 04:02:38 UTC,Advanced Micro Devices,5500
3RU7GD8VPP6I4HQT3JI6JZSCSZLSPX,A2KNE9E89YLQ3A,3OWZNK3RYL2053JY0NXSD47NOHPU28,Fri May 08 20:20:39 PDT 2015,Fri May 08 20:20:56 PDT 2015,2015-05-09 04:22:39 UTC,Advanced Micro Devices,5500
3EA3QWIZ4J8R2VG4FOXCK7NM843TIA,AYDDIDXTRHXZ5,35ZRNT9RUIBUDGVK81ZOX8KQC91O30,Fri May 08 20:09:45 PDT 2015,Fri May 08 20:10:24 PDT 2015,2015-05-09 04:12:39 UTC,Aerohive Networks,137.3
3YDTZAI2WYTWL45GSGBYK0U8B3D41Z,A2KNE9E89YLQ3A,3P4ZBJFX2VGXY1KFJIR0FBM9I15FWC,Fri May 08 20:34:09 PDT 2015,Fri May 08 20:34:17 PDT 2015,2015-05-09 04:37:38 UTC,Affymetrix,330
3907X2AHF1IPZI9V9430SHF8U5M2P4,A2KNE9E89YLQ3A,3W5PY7V3UPKHS81BH909F6ZHMGMYJX,Fri May 08 20:19:52 PDT 2015,Fri May 08 20:20:04 PDT 2015,2015-05-09 04:22:38 UTC,Agilent Technologies,6782
3ZGVPD4G6UUDXL5EFSLYK2QC4H2TZ4,AYALPYEQ512PP,3N3WJQXELS3XMDW4R95RMHB4BQWL25,Fri May 08 18:48:00 PDT 2015,Fri May 08 18:49:28 PDT 2015,Fri May 08 19:05:14 PDT 2015,Agilent Technologies,6782
3EFVCAY5L4M4ZM8MU87H5C6Z7678JC,A5C761Y9MWNCA,3LVTFB9DE5VYS4KOITYC574ZVFPGQ9,Fri May 08 19:58:37 PDT 2015,Fri May 08 19:59:11 PDT 2015,2015-05-09 04:02:37 UTC,Agilent Technologies,6782
30H4UDGLT3VF6MDOJMMK7QT60A2PMH,AR5VZOF01EJA9,3AA88CN98PGC3S7TZU0LGLZU15MKYI,Fri May 08 19:49:46 PDT 2015,Fri May 08 19:50:46 PDT 2015,2015-05-09 03:52:37 UTC,Agilent Technologies,6782
39DD6S19JQOB82NHPXW3LGQB17JZEO,A3STVJG6VL4D44,39I4RL8QGJU53VS1429HN4FVENK4HE,Fri May 08 20:34:58 PDT 2015,Fri May 08 20:36:28 PDT 2015,2015-05-09 04:37:39 UTC,Agilent Technologies,6782
3TOK3KHVJUVE0JU00G7GZ8RQVG97O5,A1T71UAY8IRUJ6,3PN6H8C9R433T43GR70I9MMXE5MDAO,Fri May 08 18:57:10 PDT 2015,Fri May 08 18:57:38 PDT 2015,Fri May 08 19:05:15 PDT 2015,Agilent Technologies,6782
3P4RDNWND6JXOSKZ3UJ8I10DA2AIJS,A3HIFDO7YUSB2R,329E6HTMSWFBNPA5A97VQR3HS4SK3D,Fri May 08 19:08:12 PDT 2015,Fri May 08 19:10:43 PDT 2015,2015-05-09 03:12:38 UTC,Agilent Technologies,6782
3G2UL9A02EROBDOW0KLMI85ZAGI76J,AYDDIDXTRHXZ5,3FJ2RVH25ZJ2LBVV2C21H8K9BWG92X,Fri May 08 20:10:25 PDT 2015,Fri May 08 20:13:02 PDT 2015,2015-05-09 04:17:38 UTC,Akamai Technologies,1600
3TE22NPXPCPDD32ZFYU0IY1BNNN44C,A3VMQ4E8D1544Y,3KTCJ4SCVGEA3AWT8H6SHBGOJP9M1S,Fri May 08 20:34:41 PDT 2015,Fri May 08 20:35:20 PDT 2015,2015-05-09 04:37:39 UTC,Altera,1783
3634BBTX0P7HJQY3K4SN338LHVWFIP,A5C761Y9MWNCA,306996CF6WXEKJSWHSGJ3V5U7Q51BI,Fri May 08 20:14:58 PDT 2015,Fri May 08 20:15:23 PDT 2015,2015-05-09 04:17:39 UTC,Altera,1783
3JNQLM5FT5ZZ8XUXHCATB06OPVKL2O,AYDDIDXTRHXZ5,31ODACBENUS1I9TFDTSTULN2JQIQS2,Fri May 08 19:57:26 PDT 2015,Fri May 08 19:59:03 PDT 2015,2015-05-09 04:02:37 UTC,Altera,1783
3X0H8UUIT218OQNUF5W1BT08LWNSWR,AYALPYEQ512PP,3T2HW4QDUVKFJTNXZ5R7TLTVNNT9C6,Fri May 08 20:01:44 PDT 2015,Fri May 08 20:02:26 PDT 2015,2015-05-09 04:02:38 UTC,Altera,1783
3U84XHCDIDQTG0QO0RKQCUEKOIMZ4F,A1T71UAY8IRUJ6,3B6F54KMR2PD159YSE2ETKFUBER1SJ,Fri May 08 19:10:35 PDT 2015,Fri May 08 19:11:17 PDT 2015,2015-05-09 03:12:38 UTC,Altera,1783
3QECW5O0KIEFQ7LP84EIVYJH3IX5TC,A138ZQHYN36BY8,3QXFBUZ4ZKTQKXR5Z2IHF81OY0VGUE,Fri May 08 20:07:57 PDT 2015,Fri May 08 20:10:05 PDT 2015,2015-05-09 04:12:38 UTC,Analog Devices Inc.,2864.773
3VNXK88KKDVD4MRQGPRE8WC4MZU9VL,AZAOUXFLQ5S3Z,36MUZ9VAE6F6JHKS7C2455COZKLEDL,Fri May 08 18:36:21 PDT 2015,Fri May 08 18:37:32 PDT 2015,Fri May 08 19:05:06 PDT 2015,Apple,182795
3QAVNHZ3ENHOD0P1UR38HIPM1JAALI,AYALPYEQ512PP,351S7I5UG99NG9XXA7RYYQ1AIWJJNT,Fri May 08 18:49:32 PDT 2015,Fri May 08 18:51:07 PDT 2015,Fri May 08 19:05:04 PDT 2015,Apple,182795
3CFVK00FWMYNQYDY4EMW1DN050K6LO,AYDDIDXTRHXZ5,362E9TQF2H3LB6W55LT3W5DD457IG7,Fri May 08 18:38:27 PDT 2015,Fri May 08 18:38:59 PDT 2015,Fri May 08 19:05:05 PDT 2015,Apple,182795
32UTUBMZ7H9WSF6NE95AZ27UAZXBVX,A3VMQ4E8D1544Y,3RQVKZ7ZRKWY7S72NF4H3CT3G6S72J,Fri May 08 18:34:20 PDT 2015,Fri May 08 18:35:12 PDT 2015,Fri May 08 19:05:16 PDT 2015,Apple,182795
3WI0P0II625XE5NQJLR6TV6RSEZDRG,A3STVJG6VL4D44,3VMHWJRYHVTCN1P5TNNMHU0GR3BFX5,Fri May 08 20:26:33 PDT 2015,Fri May 08 20:31:07 PDT 2015,2015-05-09 04:32:39 UTC,Apple,182795
358010RM5F635I9OJ5XSOZYMT2NXVU,AR5VZOF01EJA9,3TL87MO8CM2HN78GF4KY605TKU1LFP,Fri May 08 19:50:47 PDT 2015,Fri May 08 19:52:39 PDT 2015,2015-05-09 03:57:36 UTC,Apple,182795
3P529IW9KZYJ9R6957P0VJ0DYZPFL2,A2PQQC3LO31PRT,3VDVA3ILIDSAB007XE8X46WRN3WG1D,Fri May 08 19:55:12 PDT 2015,Fri May 08 19:56:29 PDT 2015,2015-05-09 03:57:37 UTC,Apple,182795
3H7XDTSHKD45YLE3K52KMFH5XLTGWV,A2KNE9E89YLQ3A,33QQ60S6ASVT9TGKL0TEUGE8RJ5U0O,Fri May 08 20:10:53 PDT 2015,Fri May 08 20:11:36 PDT 2015,2015-05-09 04:12:39 UTC,Apple,182795
31Q0U3WYDQST4RNZUE95NCEI25Z17C,A1O598U6HR6P9H,3UY4PIS8QRYGLSHTKILSUQ5OOFJ1N7,Fri May 08 18:32:32 PDT 2015,Fri May 08 18:45:38 PDT 2015,Fri May 08 19:05:18 PDT 2015,Apple,182795
3XM0HYN6NLCHUYLB2OY1UIOXR89PEQ,A308QJ3EJ8HIPD,3QGHA0EA0JD7LK8ZEG54WLVO33DWBB,Fri May 08 18:40:06 PDT 2015,Fri May 08 18:49:10 PDT 2015,Fri May 08 19:05:15 PDT 2015,Apple,182795
333U7HK6IASGGH4DBGIXR4K0IX3JDS,A5C761Y9MWNCA,3X52SWXE0XIQVP05SG1Z7516LODWCI,Fri May 08 19:39:51 PDT 2015,Fri May 08 19:48:28 PDT 2015,2015-05-09 03:52:36 UTC,Apple,182795
3LOTDFNYA8CZKLI89LW24UHTW6RFWT,A1T71UAY8IRUJ6,3QE4DGPGBROR3ZXQKWRZ243UZN6G4Q,Fri May 08 18:57:39 PDT 2015,Fri May 08 18:58:07 PDT 2015,Fri May 08 19:05:15 PDT 2015,Apple,182795
33JKGHPFYD7F311B379S31OB0V1MNI,A2K3TPEKUWQX6P,3SX4X51T80MUX1U5HGEYKGYWIJTOAW,Fri May 08 19:33:39 PDT 2015,Fri May 08 19:41:43 PDT 2015,2015-05-09 03:42:37 UTC,Apple,182795
3TMSXRD2X7D8U6O02MHHFSDZVW8W19,A1T71UAY8IRUJ6,3T6SSHJUZFNZ7X20V9T6HHQTJIZIIZ,Fri May 08 18:58:07 PDT 2015,Fri May 08 18:58:28 PDT 2015,Fri May 08 19:05:17 PDT 2015,Applied Materials,9070
3U84XHCDIDQTG0QO0RKQCUEKOIO4ZM,A5C761Y9MWNCA,3D17ECOUOE89HOOJ2Z1DLC7IJYS13R,Fri May 08 19:53:29 PDT 2015,Fri May 08 19:53:59 PDT 2015,2015-05-09 03:57:37 UTC,Applied Materials,9070
30X31N5D643BHDKRE009T43HTDLSAH,A2KNE9E89YLQ3A,3CO05SML7VI1T1O3H6Y9P5ROKK1R0H,Fri May 08 20:13:34 PDT 2015,Fri May 08 20:13:50 PDT 2015,2015-05-09 04:17:38 UTC,Applied Materials,9070
3YHH42UU5CSSCNRJ2P6FSCD9SX10LK,AR5VZOF01EJA9,3KA7IJSNW6IH1BBY2UR94RNSA6BBPW,Fri May 08 19:52:39 PDT 2015,Fri May 08 19:54:05 PDT 2015,2015-05-09 03:57:37 UTC,Applied Materials,9070
3I2PTA7R3U75GAE0YNOTSIRCG1RKQW,AYALPYEQ512PP,3MDWE879UHFW9OVRL5VCI1ND52T9BZ,Fri May 08 18:51:14 PDT 2015,Fri May 08 18:53:03 PDT 2015,Fri May 08 19:05:13 PDT 2015,Applied Materials,9070
30OG32W0SVOHRD9YM9L9QTJ2RT8ENJ,ANFWGSQ8BQRZ,356TQKY9XFA9T79R3WDID36626K78M,Fri May 08 18:37:56 PDT 2015,Fri May 08 18:45:29 PDT 2015,Fri May 08 19:05:05 PDT 2015,Applied Materials,9070
39PAAFCODNDWO104EVWVZWDGG6YTV6,AYDDIDXTRHXZ5,3ZTE0JGGCE5IQGR31UAPQBOKIMEOCY,Fri May 08 19:32:54 PDT 2015,Fri May 08 19:35:17 PDT 2015,2015-05-09 03:37:37 UTC,Applied Materials,9070
3KXIR214I5T3APNCBKBCPJ4D39R42G,A3STVJG6VL4D44,3HO4MYYR121ON42ZNP9V3HOZ4MRU6P,Fri May 08 20:34:13 PDT 2015,Fri May 08 20:34:26 PDT 2015,2015-05-09 04:37:38 UTC,Applied Materials,9070
3R6P78PK7LOD64A9P0X9ZVA6TRCTGJ,A2KNE9E89YLQ3A,39WSF6KUV2YXNEBHXLGKGZON3YROER,Fri May 08 20:29:44 PDT 2015,Fri May 08 20:29:53 PDT 2015,2015-05-09 04:32:38 UTC,Aruba Networks,637
3TVSS0C0E2D93Q09451RLYWUNFZWTI,A1T71UAY8IRUJ6,3TZ0XG8CBUXD7QXKITB2RZXCXW8980,Fri May 08 19:11:18 PDT 2015,Fri May 08 19:11:58 PDT 2015,2015-05-09 03:12:38 UTC,Asus,414400
3NC5L260MPZRFC96IZ5SN047T4VFOK,A5C761Y9MWNCA,3DIIW4IV8P85ZQ3LAKR2NGGAE0Z4I7,Fri May 08 20:16:40 PDT 2015,Fri May 08 20:16:58 PDT 2015,2015-05-09 04:17:39 UTC,Atmel,1430
369J354OFEN746ZXTNPGOLIS9J16GL,AYALPYEQ512PP,3YD0MU1NC2ENCV260UXW9UC1SUK7AQ,Fri May 08 20:02:30 PDT 2015,Fri May 08 20:06:15 PDT 2015,2015-05-09 04:07:38 UTC,Atmel,1430
39LNWE0K4V9628VTFTNMP39ORI8IUO,A1T71UAY8IRUJ6,3VI0PC2ZAYX6TE2YSQ6C4O9UJ43OX1,Fri May 08 19:11:59 PDT 2015,Fri May 08 19:12:39 PDT 2015,2015-05-09 03:17:36 UTC,Atmel,1430
3KWTYT0871GR7UDKZVCR979095C5LA,A2KNE9E89YLQ3A,3L4YG5VW9N51RB6SBHRKZNU3Z8JDDQ,Fri May 08 20:26:26 PDT 2015,Fri May 08 20:26:35 PDT 2015,2015-05-09 04:27:42 UTC,Atmel,1430
31EUONYN2WGGB9VWIEAW5M7THYGVOL,A1T71UAY8IRUJ6,3Z56AA6EK4D5AWXQENI9C775R0PM6Q,Fri May 08 18:53:39 PDT 2015,Fri May 08 18:54:16 PDT 2015,Fri May 08 19:05:39 PDT 2015,Avago Technologies,4307
35GCEFQ6I618Y47K0DF72PMEAIU3Z2,A2KNE9E89YLQ3A,3HJ1EVZS2OWXATN00TGSR3PVNWLR3C,Fri May 08 20:33:00 PDT 2015,Fri May 08 20:33:07 PDT 2015,2015-05-09 04:37:36 UTC,Aviat Networks,407
3U84XHCDIDQTG0QO0RKQCUEKOIM4ZK,A1XPLNE3RSG6,37OPIVELUUGK5K8ID3J8071V6XGHA2,Fri May 08 18:48:13 PDT 2015,Fri May 08 18:48:27 PDT 2015,Fri May 08 19:05:07 PDT 2015,Aviat Networks,407
3RRCEFRB7NPXY2N8UD4NQC7HXF1B4M,A1Q2VBUWBTCJEZ,3BAKUKE49HP10Q9LDP293AAYPC7R1K,Fri May 08 19:34:32 PDT 2015,Fri May 08 19:36:12 PDT 2015,2015-05-09 03:37:38 UTC,Balsam Hill,34.7
3Z9WI9EOZ01S3HFXFX1ZJ4ZBPEYHK0,AYALPYEQ512PP,3IVEC1GSLPCK22Q85KT01JO7FVE1J3,Fri May 08 20:08:26 PDT 2015,Fri May 08 20:09:53 PDT 2015,2015-05-09 04:12:38 UTC,BEA Systems,1535
3DY4FPOOA21J8MNCA6R0ZHCYSL2RVS,A2KNE9E89YLQ3A,3HKIF5DF6YAS05321RNQJCEALFKG9M,Fri May 08 20:25:12 PDT 2015,Fri May 08 20:25:20 PDT 2015,2015-05-09 04:27:41 UTC,Bio-Rad Labratories,2133
36V4Q8R5ZLD06YE3JZ197VJG56OQM9,AYALPYEQ512PP,33CLA8O0MIOSQ53TKOHUSCESQMQFR9,Fri May 08 20:07:35 PDT 2015,Fri May 08 20:08:15 PDT 2015,2015-05-09 04:12:37 UTC,Broadcom,8430
3A4TN5196LVAKJ39NKK1VLM3K5NHCL,A1T71UAY8IRUJ6,30OITAWPBQG601YDLX584CQB0FYH9N,Fri May 08 19:12:40 PDT 2015,Fri May 08 19:13:02 PDT 2015,2015-05-09 03:17:37 UTC,Broadcom,8430
3YW4XOSQKRYV22ZV7M2GX4S2AGYU19,AYDDIDXTRHXZ5,3E24UO25QZ3TAZI2R3XM4BWAM046OP,Fri May 08 19:36:00 PDT 2015,Fri May 08 19:36:36 PDT 2015,2015-05-09 03:37:38 UTC,Brocade Communications Systems,2230
3ON104KXQL9PM5LJP40JDQK27GL4WX,A5C761Y9MWNCA,3TL87MO8CM2HN78GF4KY605TKU1FLJ,Fri May 08 20:13:17 PDT 2015,Fri May 08 20:13:49 PDT 2015,2015-05-09 04:17:38 UTC,Brocade Communications Systems,2230
39OWYR0EPL439QD8OMEQPR297ERYFB,A1T71UAY8IRUJ6,336OE47KI2XMUY65JXW4XXPV6VTVWG,Fri May 08 18:58:29 PDT 2015,Fri May 08 18:59:09 PDT 2015,Fri May 08 19:05:03 PDT 2015,Brocade Communications Systems,2230
39O5D9O87U5VQBWA8ZVZRRLT1073C2,AR5VZOF01EJA9,3FVBZG9CLJRO47A0L1MFB1PIXB4H0B,Fri May 08 19:54:06 PDT 2015,Fri May 08 19:55:12 PDT 2015,2015-05-09 03:57:37 UTC,Brocade Communications Systems,2230
3R3YRB5GRGGRWQCV35V985L5EA3AUC,AYALPYEQ512PP,35U0MRQMUJKEPPX3SB5UG3C93TVOVY,Fri May 08 18:53:10 PDT 2015,Fri May 08 18:54:13 PDT 2015,Fri May 08 19:05:05 PDT 2015,Brocade Communications Systems,2230
3NPFYT4IZDHKNLJTUAY6OYVC6NZXG5,A2KNE9E89YLQ3A,3VAOOVPI3Z53NZIC1FNW1DADHQNLLU,Fri May 08 20:24:56 PDT 2015,Fri May 08 20:25:04 PDT 2015,2015-05-09 04:27:40 UTC,Brocade Communications Systems,2230
3MAOD8E57RNQXD0FHEB1EI497ZLXND,A2KNE9E89YLQ3A,3RIHDBQ1NEBL7LH7A69D9YWV0E5MHR,Fri May 08 20:25:57 PDT 2015,Fri May 08 20:26:07 PDT 2015,2015-05-09 04:27:41 UTC,Cadence Design Systems,1460
35USIKEBNSTDEYGJGR2BE5RPAVLN68,A1T71UAY8IRUJ6,385MDVINFCSD336B28ILU9E1B8NJWK,Fri May 08 19:13:17 PDT 2015,Fri May 08 19:13:57 PDT 2015,2015-05-09 03:17:37 UTC,Cadence Design Systems,1460
3Z2R0DQ0JIRL2RK50QNPY5G4GYJE2U,AYALPYEQ512PP,3OPLMF3EU50TBZLXDS3BE5E2MLNLNW,Fri May 08 20:10:26 PDT 2015,Fri May 08 20:11:16 PDT 2015,2015-05-09 04:12:39 UTC,Cadence Design Systems,1460
3IAEQB9FMFX2M14CIF1CGUE8KTEWD2,A2KNE9E89YLQ3A,3VEI3XUCZRA4HISNYRDZ46SWSSERPP,Fri May 08 20:33:16 PDT 2015,Fri May 08 20:33:22 PDT 2015,2015-05-09 04:37:37 UTC,Cepheid,401
3I0BTBYZAYYCCMYIL4V5MKF51C5Y0A,A2R3YFUNAT892R,3CVBMEMMXBT2MIAK607OQGZ55PAH7B,Fri May 08 20:21:21 PDT 2015,Fri May 08 20:25:43 PDT 2015,2015-05-09 04:27:41 UTC,Chegg,178.459
37U1UTWH9WZLXARZ2DGQ73SQHN28R5,A3STVJG6VL4D44,33EEIIWHK7KHA1AJ7OXY5879IUCQV7,Fri May 08 20:32:09 PDT 2015,Fri May 08 20:33:08 PDT 2015,2015-05-09 04:37:37 UTC,Cisco Systems,47873
3MX2NQ3YCA7M7OU9DEFFK14NGEKX5M,A5C761Y9MWNCA,3JYPJ2TAYIL7ESNE7WD5NHEDP42FPH,Fri May 08 19:50:08 PDT 2015,Fri May 08 19:50:32 PDT 2015,2015-05-09 03:52:37 UTC,Cisco Systems,47873
3WOKGM4L72T0I8UGFHM7KTH3N25O0O,A2PQQC3LO31PRT,3KTZHH2ONISSEAGE72F7WL3WXVFM8C,Fri May 08 20:00:26 PDT 2015,Fri May 08 20:03:25 PDT 2015,2015-05-09 04:07:38 UTC,Cisco Systems,47873
3ERET4BTVNMZOBXEHLD76N1N61O9K0,AV104AVVA4VJO,3AA88CN98PGC3S7TZU0LGLZU15MYKW,Fri May 08 19:12:09 PDT 2015,Fri May 08 19:26:51 PDT 2015,2015-05-09 03:27:37 UTC,Cisco Systems,47873
3L6L49WXW1AV9M6ZT3DANQ7PNJG54G,AR5VZOF01EJA9,374UMBUHN52Y38WBXBWOKLU7HUVCT8,Fri May 08 19:55:13 PDT 2015,Fri May 08 19:56:04 PDT 2015,2015-05-09 03:57:37 UTC,Cisco Systems,47873
3WQ3B2KGE9TG63QP7VLLSE0ELVQB18,A1T71UAY8IRUJ6,3H5TOKO3D9WP668K8JIDQDQ559446D,Fri May 08 18:59:10 PDT 2015,Fri May 08 18:59:32 PDT 2015,Fri May 08 19:05:11 PDT 2015,Cisco Systems,47873
3QUO65DNQV1GYU6WDO0R905A3R6OUO,A3VMQ4E8D1544Y,3VMV5CHJZ8SBKKCGZXS7ACFMFMOGTN,Fri May 08 18:35:17 PDT 2015,Fri May 08 18:35:58 PDT 2015,Fri May 08 19:05:18 PDT 2015,Cisco Systems,47873
39K0FND3AIS8JI7MU34NHV4B1O2MAY,A2KNE9E89YLQ3A,3I01FDIL6MLEO18CES73343Z2HUD2H,Fri May 08 20:12:06 PDT 2015,Fri May 08 20:12:22 PDT 2015,2015-05-09 04:12:39 UTC,Cisco Systems,47873
3OXV7EAXLF36AUN9Y8IW5RTJ5EU368,A3HIFDO7YUSB2R,3Q9SPIIRWJZ22A3782581ABILLSWAG,Fri May 08 18:57:23 PDT 2015,Fri May 08 19:01:32 PDT 2015,Fri May 08 19:05:15 PDT 2015,Cisco Systems,47873
39ASUFLU6YKM37N2OF8IOVA0T7IEX3,AYDDIDXTRHXZ5,3WGZLY9VCHZPAGA1U9G4DVG2OHMD8K,Fri May 08 18:40:43 PDT 2015,Fri May 08 18:43:09 PDT 2015,Fri May 08 19:05:19 PDT 2015,Cisco Systems,47873
308XBLVESJH4Z8P65P00Y5IRPTLRBL,A2K3TPEKUWQX6P,378G7J1SJLB5SNKJO77UXT1960QWEB,Fri May 08 19:42:59 PDT 2015,Fri May 08 19:44:05 PDT 2015,2015-05-09 03:47:36 UTC,Cisco Systems,47873
3Q5ZZ9ZEVPSWSNT1563N42NUP5A58L,AYALPYEQ512PP,3V8JSVE8YY39HSFJ38PIIQMPH8REYT,Fri May 08 18:54:17 PDT 2015,Fri May 08 18:55:28 PDT 2015,Fri May 08 19:05:18 PDT 2015,Cisco Systems,47873
3F0BG9B9MQ0QUXY263GE1ZPS9Q8Y77,A308QJ3EJ8HIPD,341H3G5YF0RAVSAURNSMB8TNT1KZ0I,Fri May 08 18:53:53 PDT 2015,Fri May 08 18:54:33 PDT 2015,Fri May 08 19:05:04 PDT 2015,Cisco Systems,47873
3PPTZCWALRX055DMYOR3FXFPKA6QZQ,AYDDIDXTRHXZ5,391JB9X4ZYLC9BIFGRCAMQCNSV9MKV,Fri May 08 20:13:03 PDT 2015,Fri May 08 20:14:33 PDT 2015,2015-05-09 04:17:38 UTC,Citrix Systems,2900
