AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,Answer.name,pub,sigmod,vldb,year,pub/year,vldb/year,sigmod/year
3EQHHY4HQT5BL2ZJO4FBWF4SDBJ5G7,ASKDA7P5TIOVT,36GJS3V78V3H6HGBN3E386SDG7NJGK,Thu Apr 30 09:57:48 PDT 2015,Thu Apr 30 09:58:43 PDT 2015,2015-04-30 18:02:36 UTC,Yongjoo Park,2,0,0,2,1,0,0
3DHE4R9OCXOJM5GW6LDDY81GT1IG27,ASKDA7P5TIOVT,3QXFBUZ4ZKTQKXR5Z2IHF81OXNLUGR,Thu Apr 30 05:23:31 PDT 2015,Thu Apr 30 05:24:17 PDT 2015,2015-04-30 13:27:37 UTC,Caroline Suen,4,0,0,2,2,0,0
3X0H8UUIT218OQNUF5W1BT08LKSSW8,AYALPYEQ512PP,389A2A304OVXNZZKZ98E0AS2J6PC0W,Fri May 01 05:15:22 PDT 2015,Fri May 01 05:22:34 PDT 2015,2015-05-01 13:22:38 UTC,Bor-Chun (Sirius) Chen,8,0,0,1,8,0,0
3BDCF01OGY7P9IN4AXHOK47T4XYLYY,ASKDA7P5TIOVT,3R868ACW4SP76WLF5PHPW0G3Z5ZZGK,Thu Apr 30 04:43:34 PDT 2015,Thu Apr 30 04:44:41 PDT 2015,2015-04-30 12:47:36 UTC,Manas Joglekar,15,0,0,4,3.75,0,0
3QEMNNSB2YCNWM3BA7T0OEFRRPWD7I,A8L450UGY77XB,32TMVRKDGNBCAKR81YFBARMWARK48Y,Thu Apr 30 09:20:20 PDT 2015,Thu Apr 30 09:22:11 PDT 2015,2015-04-30 17:22:38 UTC,Bingyi Cao,1,0,0,1,1,0,0
3GNA64GUZFH2YRTXR0KNQT8UIW9Q5Z,A8L450UGY77XB,3G57RS03HHIJKOTJZMPK5SF7ONN25Y,Wed Apr 29 11:41:45 PDT 2015,Wed Apr 29 11:45:19 PDT 2015,2015-04-29 19:47:37 UTC,Eric Gribkoff,4,0,0,2,2,0,0
3F6KKYWMNCECZ7VYQEAPKB1HR6XND3,AYALPYEQ512PP,3O0M2G5VC6FCOPAI6QLPANH7UX249N,Fri May 01 13:07:30 PDT 2015,Fri May 01 13:11:31 PDT 2015,2015-05-01 21:12:37 UTC,Wikum Dinalankara,2,0,0,4,0.5,0,0
3OONKJ5DKDW12VXQDXJW4ADMEVBOBX,AYALPYEQ512PP,3R16PJFTS34W5LT9ANCE0WVN5RE4KH,Sat May 02 03:05:30 PDT 2015,Sat May 02 03:12:04 PDT 2015,2015-05-02 11:12:37 UTC,Andrew Ruef,3,0,0,2,1.5,0,0
3VNL7UK1XGW7S4EEEGRRHAAURW8TFJ,A8L450UGY77XB,301KG0KX9CYV0HDE0OQTUPIXTWEH2U,Tue Apr 28 13:57:52 PDT 2015,Tue Apr 28 14:00:37 PDT 2015,2015-04-28 22:02:38 UTC,Yonathan Perez,2,0,0,1,2,0,0
3WQQ9FUS6B7YH3AA6GU07ONMZPTB81,ASKDA7P5TIOVT,391FPZIE4CZ4KTMGJ80Z08DPCNYUHQ,Thu Apr 30 22:14:46 PDT 2015,Thu Apr 30 22:31:01 PDT 2015,2015-05-01 06:32:36 UTC,Ashwin Paranjape,1,0,0,1,1,0,0
34PGFRQONPOFPN44SBNNJS9LOY8JW5,A8L450UGY77XB,3SZYX62S5GDQ6PQP5Y6F1JWFZ3975J,Wed Apr 29 07:26:40 PDT 2015,Wed Apr 29 07:29:20 PDT 2015,2015-04-29 15:32:40 UTC,Daniel Haas,3,0,0,2,1.5,0,0
3ZV9H2YQQEK4492FPQV03LSWT5X3WX,AYALPYEQ512PP,3ACRLU860NRD4KM8TGBYAFOOVMZEBD,Sat May 02 03:28:52 PDT 2015,Sat May 02 03:36:35 PDT 2015,2015-05-02 11:37:41 UTC,Kanthi Sarpatwar,10,0,0,4,2.5,0,0
3SBEHTYCWOGNJHFYPUKBSOF1NUEIYT,ASKDA7P5TIOVT,3NRZ1LDP7WJDJ9EE887CQ9UV0WNZPP,Thu Apr 30 20:59:28 PDT 2015,Thu Apr 30 21:05:21 PDT 2015,2015-05-01 05:07:37 UTC,Cansu Aslantas,1,0,0,1,1,0,0
3IOEN3P9S8WA0R9UB44DHYEM6GG16L,AYALPYEQ512PP,3Q9SPIIRWJZ22A3782581ABIK8IWAF,Wed Apr 29 19:32:30 PDT 2015,Wed Apr 29 19:39:28 PDT 2015,2015-04-30 03:42:36 UTC,Shrainik Jain,1,0,0,2,0.5,0,0
3ON104KXQL9PM5LJP40JDQK2746W4M,AV3CA0IYNRCCJ,3H1C3QRA01WWEPEE7G7TLZU6D7ZECK,Thu Apr 30 19:04:53 PDT 2015,Thu Apr 30 19:08:40 PDT 2015,2015-05-01 03:12:37 UTC,John Meehan,2,0,1,3,0.666666667,0.333333333,0
3634BBTX0P7HJQY3K4SN338LGHUFIU,AYALPYEQ512PP,338431Z1FLSMWIGMJR0KF6N6HA8RO7,Wed Apr 29 19:40:10 PDT 2015,Wed Apr 29 19:48:35 PDT 2015,2015-04-30 03:52:36 UTC,Paraschos Koutris,20,2,1,5,4,0.6,0.4
3BEFOD78W76THTR5L2UW4SIB921M4U,ASKDA7P5TIOVT,3CMV9YRYP3EXS9UCYUBJLYXLCO8LJR,Thu Apr 30 22:09:58 PDT 2015,Thu Apr 30 22:10:54 PDT 2015,2015-05-01 06:12:37 UTC,Konstantinos Zampogiannis,1,0,0,4,0.25,0,0
3ZDAD0O1T2QOSQ5ZEAXDNHA1V26TXE,A8L450UGY77XB,32LAQ1JNT92UP2DBJ2HOERGDNHSTUY,Wed Apr 29 07:51:05 PDT 2015,Wed Apr 29 07:59:22 PDT 2015,2015-04-29 16:02:38 UTC,Evan Sparks,8,0,0,3,2.666666667,0,0
3UXUOQ9OKFAPYF0ZQX2YYD7L6OV7AA,AYALPYEQ512PP,3PUOXASB57GSRMY7RJBF4JUGVS4Z9T,Fri May 01 13:14:42 PDT 2015,Fri May 01 13:22:59 PDT 2015,2015-05-01 21:27:39 UTC,Fan Du,5,0,0,2,2.5,0,0
3WSELTNVR4FCWDX6305Z39Z3UHCAT6,A8L450UGY77XB,351S7I5UG99NG9XXA7RYYQ1AHJ9JNS,Wed Apr 29 13:03:23 PDT 2015,Wed Apr 29 13:07:30 PDT 2015,2015-04-29 21:07:38 UTC,Jingjing Wang,0,0,0,4,0,0,0
3WOKGM4L72T0I8UGFHM7KTH3NPNO0G,ASKDA7P5TIOVT,37VUR2VJ6A2XUOK2VSCEEFBCOYVC1Z,Thu Apr 30 05:03:56 PDT 2015,Thu Apr 30 05:05:21 PDT 2015,2015-04-30 13:07:39 UTC,Semih Salihoglu,10,1,2,4,2.5,0.75,0.25
3GM6G9ZBKOADYE6V03V4C0U3P2MTM3,AYALPYEQ512PP,3HXK2V1N4KSH0LI3GI8B9P6WEW22GH,Fri May 01 18:46:30 PDT 2015,Fri May 01 18:49:53 PDT 2015,2015-05-02 02:52:37 UTC,Kookjin Lee,1,0,0,1,1,0,0
3FIJLY1B6VH90CL7XZI7C09X3W8PF2,ASKDA7P5TIOVT,3VJ4PFXFJ3KPA6E2D2Q7JMQLZS8UAF,Thu Apr 30 04:27:11 PDT 2015,Thu Apr 30 04:28:42 PDT 2015,2015-04-30 12:32:38 UTC,Akash Das Sarma,7,0,1,2,3.5,0.5,0
3NJM2BJS4XJ2X01X6XS64UOU5G6CPX,A8L450UGY77XB,3V0TR1NRVAFQT8KNYWZP6ISR0FK4A2,Tue Apr 28 17:33:50 PDT 2015,Tue Apr 28 17:36:48 PDT 2015,2015-04-29 01:37:39 UTC,Norases Vesdapunt,3,0,1,3,1,0.333333333,0
33JKGHPFYD7F311B379S31OBZGRNME,AYALPYEQ512PP,3FULMHZ7OUARV9TCVZPUF9NRUW94MM,Wed Apr 29 03:33:32 PDT 2015,Wed Apr 29 03:40:31 PDT 2015,2015-04-29 11:42:38 UTC,Shivaram Venkataraman,20,1,1,4,5,0.5,0.25
3KV0LJBBH3Y0IZT3WEQ9CLTL1HWRMV,AYALPYEQ512PP,378G7J1SJLB5SNKJO77UXT195NGWEA,Fri May 01 23:47:57 PDT 2015,Fri May 01 23:52:17 PDT 2015,2015-05-02 07:52:36 UTC,Ramakrishna Padmanabhan,2,0,0,3,0.666666667,0,0
3TAYZSBPLMLMCAPN1L7UNMKJHEK2SP,AYALPYEQ512PP,3KI0JD2ZU1VMPTQ3AHGKTPAFVYK76Z,Fri May 01 14:55:33 PDT 2015,Fri May 01 15:00:41 PDT 2015,2015-05-01 23:02:37 UTC,Anderson Garron,1,0,0,2,0.5,0,0
3CN4LGXD5Y1TBAGJ45I7YN5IIDKY43,AYALPYEQ512PP,375VSR8FVWMYVMUTL0B1V4UA1EBZRH,Fri May 01 19:53:16 PDT 2015,Fri May 01 19:55:17 PDT 2015,2015-05-02 03:57:37 UTC,Varun Manjunatha,1,0,0,1,1,0,0
3Y9N9SS8LZO5V32O8VQABX3BLLG3D4,A8L450UGY77XB,3IZPORCT1FMC41UZFE5UVXQ55OURHJ,Wed Apr 29 07:15:51 PDT 2015,Wed Apr 29 07:22:13 PDT 2015,2015-04-29 15:22:37 UTC,Peter Bailis,17,4,3,4,4.25,1.75,1
373ERPL3YPL4VUJN5BRLYZODVNATRC,ASKDA7P5TIOVT,3VW0145YLYPHYRCXY6CYLBCACTZJMS,Thu Apr 30 07:53:35 PDT 2015,Thu Apr 30 07:55:03 PDT 2015,2015-04-30 15:57:38 UTC,Paraschos Koutris,20,4,1,5,4,1,0.8
3QY5DC2MXSXMSHT3ELH1M6WWBDGUFJ,AYALPYEQ512PP,3TUOHPJXYHAEYNB0JCXMLIMGLTSWXK,Thu Apr 30 11:57:05 PDT 2015,Thu Apr 30 12:00:25 PDT 2015,2015-04-30 20:02:36 UTC,Marco Adelfio,17,0,2,5,3.4,0.4,0
3JAOYWH7VJHA8HFW2LP8LNE2VPN9L9,ASKDA7P5TIOVT,3D5G8J4N5AHU2H2BOSRTADIW1O1TVN,Thu Apr 30 21:05:27 PDT 2015,Thu Apr 30 21:06:30 PDT 2015,2015-05-01 05:07:37 UTC,Andrew Crotty,3,0,0,2,1.5,0,0
3M23Y66PO3KAUB8OONJXDZ1VXHC6SW,ASKDA7P5TIOVT,3UUSLRKAULGLA25IK4OYZVK7CK77DR,Thu Apr 30 04:20:35 PDT 2015,Thu Apr 30 04:21:35 PDT 2015,2015-04-30 12:22:36 UTC,Austin Benson,9,0,0,3,3,0,0
3K5TEWLKGWO6FNKTKJXRLPB749XIVW,AYALPYEQ512PP,360ZO6N6J1WSSFZOCULLWHY7GONM90,Tue Apr 28 20:40:41 PDT 2015,Tue Apr 28 20:54:52 PDT 2015,2015-04-29 04:57:36 UTC,Tim Althoff,12,0,0,5,2.4,0,0
33NF62TLXKFOUNAN3X4KVHFQ2TSJK7,A8L450UGY77XB,3DWNFENNE381U1NRS2C2ZHVAQ2E4JI,Thu Apr 30 08:59:37 PDT 2015,Thu Apr 30 09:02:21 PDT 2015,2015-04-30 17:02:39 UTC,Manish Singh,3,1,0,5,0.6,0.2,0.2
3KV0LJBBH3Y0IZT3WEQ9CLTL1HJRMI,AYALPYEQ512PP,3V7ICJJAZATVCIPF4AZL1TCXIX54BX,Fri May 01 16:19:46 PDT 2015,Fri May 01 16:23:33 PDT 2015,2015-05-02 00:27:38 UTC,Gary Jackson,3,0,0,2,1.5,0,0
3KAKFY4PGVFM3EIA09RL2UJODPKI3F,A8L450UGY77XB,3FCO4VKOZ4QQ28JIGZZI5D2SCW87EK,Tue Apr 28 12:55:15 PDT 2015,Tue Apr 28 12:59:08 PDT 2015,2015-04-28 21:02:37 UTC,Tim Althoff,12,0,0,5,2.4,0,0
3OE22WJIGJ1JJ6JCS1SVY50AHD4QUJ,A8L450UGY77XB,3QGHA0EA0JD7LK8ZEG54WLVO2Q3WBA,Wed Apr 29 12:41:05 PDT 2015,Wed Apr 29 12:46:15 PDT 2015,2015-04-29 20:47:36 UTC,Ryan Maas,0,0,0,3,0,0,0
3HRMW88U173CI594217USPSYSQ90MG,AV3CA0IYNRCCJ,30OITAWPBQG601YDLX584CQBZ2OH9M,Thu Apr 30 18:22:08 PDT 2015,Thu Apr 30 18:27:20 PDT 2015,2015-05-01 02:27:37 UTC,Wangda Zhang,2,0,0,2,1,0,0
37TD41K0AIMZASHPYEW0ZZT5S20CS4,AYALPYEQ512PP,3QREJ3J433AS3T0UGFBVMDXYRD8LKQ,Wed Apr 29 18:57:05 PDT 2015,Wed Apr 29 19:01:41 PDT 2015,2015-04-30 03:02:37 UTC,Eric Gribkoff,5,0,0,2,2.5,0,0
3JPSL1DZ5TCE10SM64JNUATB61EANY,A8L450UGY77XB,3TX9T2ZCB9E33IBFKUL7I32RTTQWZH,Thu Apr 30 13:20:13 PDT 2015,Thu Apr 30 13:22:44 PDT 2015,2015-04-30 21:27:37 UTC,Yeounoh Chung,4,0,0,1,4,0,0
3ZR9AIQJUCMWEFKYWX7Y6VBY5WJ049,A8L450UGY77XB,3WKGUBL7SZZ7PRBRVNOFFW82URJ4LK,Wed Apr 29 12:59:33 PDT 2015,Wed Apr 29 13:02:15 PDT 2015,2015-04-29 21:02:37 UTC,Prasang Upadhyaya,17,5,2,5,3.4,1.4,1
3VSOLARPKCMTSDP7WFL8P1KLV4K93L,AV3CA0IYNRCCJ,3HEA4ZVWVDZBJLC6H5RI3ZIJ8XF553,Fri May 01 10:14:30 PDT 2015,Fri May 01 10:34:58 PDT 2015,2015-05-01 18:37:37 UTC,Shivaram Venkataraman,19,1,0,4,4.75,0.25,0.25
31JLPPHS2V7WZ0TDY44QMRFAQ2S3OD,AYALPYEQ512PP,38O9DZ0A620F3STX45ZPXYT7KIY26E,Fri May 01 03:50:59 PDT 2015,Fri May 01 03:58:36 PDT 2015,2015-05-01 12:02:37 UTC,Cody Buntain,10,0,0,4,2.5,0,0
3PB5A5BD0WJQ86D2CXU8UZIO4JFG72,AYALPYEQ512PP,33KGGVH24UULXMVXMO81SSWMPGJ1XQ,Fri May 01 17:07:12 PDT 2015,Fri May 01 17:15:05 PDT 2015,2015-05-02 01:17:37 UTC,Yit Phang Khoo,9,0,0,7,1.285714286,0,0
3LYA37P8IR0IC4CBF5R3XTWDUPMKBS,ASKDA7P5TIOVT,301KG0KX9CYV0HDE0OQTUPIXTWF2HG,Thu Apr 30 21:56:43 PDT 2015,Thu Apr 30 21:58:35 PDT 2015,2015-05-01 06:02:36 UTC,"Zhepeng ""Allen"" Yan",4,1,2,5,0.8,0.6,0.2
3LO69W1SU4QPNR24GRVID40PZ3ELGA,AYALPYEQ512PP,3L21G7IH479AXRL7RKU3B63VRMD1YW,Fri May 01 14:15:42 PDT 2015,Fri May 01 14:21:55 PDT 2015,2015-05-01 22:22:38 UTC,Jason Filippou,1,0,0,3,0.333333333,0,0
3TY7ZAOG5GXHSH91HPUEDC0U3LH0KE,ASKDA7P5TIOVT,3T5ZXGO9DE1YJLFT8LM1QEK55S9ZQG,Thu Apr 30 19:06:56 PDT 2015,Thu Apr 30 19:07:51 PDT 2015,2015-05-01 03:12:37 UTC,Jiewen Huang,13,3,1,5,2.6,0.8,0.6
3NVC2EB65RC8TEXF4RDOOIDC4BZ3YU,AV3CA0IYNRCCJ,3LN3BXKGC083C1GAU2XIXWMLI3VWGR,Thu Apr 30 16:39:11 PDT 2015,Thu Apr 30 16:44:32 PDT 2015,2015-05-01 00:47:37 UTC,Bingyi Cao,1,0,0,2,0.5,0,0
3WT783CTPCU0T60NNSA59AJ5ODXBCJ,A8L450UGY77XB,3UDTAB6HH6CVP1SHNPYNYKRUDLM90C,Wed Apr 29 13:08:16 PDT 2015,Wed Apr 29 13:10:29 PDT 2015,2015-04-29 21:12:37 UTC,Shengliang Xu,13,1,1,5,2.6,0.4,0.2
3VNL7UK1XGW7S4EEEGRRHAAUS1CFTK,AYALPYEQ512PP,3VEI3XUCZRA4HISNYRDZ46SWRF4RPO,Fri May 01 19:34:24 PDT 2015,Fri May 01 19:40:31 PDT 2015,2015-05-02 03:42:37 UTC,Sana Malik,4,0,0,4,1,0,0
3GNCZX450J0E4L4ZMJWFYZY66HCAPT,ASKDA7P5TIOVT,3URJ6VVYUP0FVCEO8F477DCWPWO4O1,Fri May 01 00:02:13 PDT 2015,Fri May 01 00:03:23 PDT 2015,2015-05-01 08:07:36 UTC,Rohan Puttagunta,1,0,0,1,1,0,0
37WLF8U1WQ3C6SVGJEAVMDALFLU6K5,A8L450UGY77XB,3KQC8JMJGC5KLZ9X4O4YDZNPZAEH35,Wed Apr 29 12:09:23 PDT 2015,Wed Apr 29 12:13:45 PDT 2015,2015-04-29 20:17:36 UTC,Daniel Yang Li,5,0,0,3,1.666666667,0,0
3MTMREQS4WV4OU10Y5AAQT62YBWWAK,A8L450UGY77XB,3PZDSVZ3J5UXDREC704USOCRZMJ4NM,Wed Apr 29 14:08:36 PDT 2015,Wed Apr 29 14:16:37 PDT 2015,2015-04-29 22:17:37 UTC,Hsuan Chiu,2,0,0,3,0.666666667,0,0
3HQUKB7LNGR11REP9CY26CJJXM2HHI,AYALPYEQ512PP,3PKJ68EHDN9V6DBM79WLT64EV70JHJ,Sat May 02 04:11:15 PDT 2015,Sat May 02 04:19:51 PDT 2015,2015-05-02 12:22:38 UTC,Abhishek Sharma,13,0,0,5,2.6,0,0
3QEMNNSB2YCNWM3BA7T0OEFRRRED74,AYALPYEQ512PP,34YWR3PJ28NLQXAFQ541ENDCKODX0J,Sat May 02 04:04:32 PDT 2015,Sat May 02 04:10:48 PDT 2015,2015-05-02 12:12:38 UTC,Yoav Segev,3,0,0,3,1,0,0
3RSDURM96BZB3CDCTBUK79H9V2GEYR,AYALPYEQ512PP,3NC6WP7WJHXZ9N6A9710JZ89CRMWWR,Fri May 01 19:55:23 PDT 2015,Fri May 01 20:00:51 PDT 2015,2015-05-02 04:02:42 UTC,Rahmatri Mardiko,1,0,0,3,0.333333333,0,0
34V1S5K3GTESPWCPFHJ6W4W55TQ96R,ASKDA7P5TIOVT,3D06DR5225W6XY9T40ZLSC9RM65MAF,Thu Apr 30 06:12:52 PDT 2015,Thu Apr 30 06:14:51 PDT 2015,2015-04-30 14:17:38 UTC,Daniel Crankshaw,6,0,0,4,1.5,0,0
3DBQWDE4Y7BHVUG5B8S6MZDPEND5NN,A8L450UGY77XB,3X878VYTIEVI8MJEBAJONVNSOXN7F2,Thu Apr 30 13:23:26 PDT 2015,Thu Apr 30 13:27:24 PDT 2015,2015-04-30 21:27:37 UTC,Andrew Crotty,3,0,0,2,1.5,0,0
39U1BHVTDM4CCSYLULQPG1LXPCWT3G,AYALPYEQ512PP,36MUZ9VAE6F6JHKS7C2455COY7BEDK,Sat May 02 13:38:02 PDT 2015,Sat May 02 13:46:26 PDT 2015,2015-05-02 21:47:38 UTC,Yezhou Yang,20,0,0,5,4,0,0
3KMS4QQVK338PLORK7DZGJNY9NZFKQ,AV3CA0IYNRCCJ,3BC9H1KCYUP3YS1AO8JO4WTPNZMWYQ,Fri May 01 09:23:31 PDT 2015,Fri May 01 09:27:32 PDT 2015,2015-05-01 17:27:38 UTC,Sanjay Krishnan,10,2,0,2,5,1,1
31LM9EDVOM5P2TVQ0AW0N9WUWRSJND,AYALPYEQ512PP,3TRB893CSJNOMMF9MUP65GN4PCN7G1,Sat May 02 11:56:41 PDT 2015,Sat May 02 12:02:24 PDT 2015,2015-05-02 20:02:57 UTC,Brandon Wilson,4,0,0,6,0.666666667,0,0
3KKG4CDWKJBEA98BWTQRZ6CR8Z994O,AYALPYEQ512PP,3TKXBROM5TNV28M6DRE6TI5TVKFJIC,Tue Apr 28 18:57:09 PDT 2015,Tue Apr 28 19:06:28 PDT 2015,2015-04-29 03:07:37 UTC,Jay-Yoon Lee,4,0,0,3,1.333333333,0,0
3VP0C6EFSH97WGVJ4QNB1Q2P5TA6M2,ASKDA7P5TIOVT,3MXX6RQ9EVIXGCQPNFHMWDHMZ1K4PI,Thu Apr 30 23:45:58 PDT 2015,Thu Apr 30 23:46:34 PDT 2015,2015-05-01 07:47:36 UTC,David Hallac,0,0,0,2,0,0,0
3U4J9857OFOUHP5RWB2UTORRO6Y7BN,AYALPYEQ512PP,3XBYQ44Z6PH7H62GE2WPWF1A8X4WT1,Fri May 01 22:29:24 PDT 2015,Fri May 01 22:32:56 PDT 2015,2015-05-02 06:37:36 UTC,Austin Myers,4,0,0,2,2,0,0
31T4R4OBOTTDRUXXABYP48X95MH7C2,A8L450UGY77XB,3D1TUISJWID4GOX0PQIK0KE4C0DUIJ,Tue Apr 28 11:26:26 PDT 2015,Tue Apr 28 11:27:21 PDT 2015,2015-04-28 19:27:56 UTC,Dana Van Aken,1,0,0,1,1,0,0
39GAF6DQWSDVFHOVCCCLTQULN9I1VN,AYALPYEQ512PP,3SBX2M1TKD0IGOR4NSWBWI7W4X64Q9,Wed Apr 29 23:32:40 PDT 2015,Wed Apr 29 23:49:13 PDT 2015,2015-04-30 07:52:36 UTC,Shengliang Xu,13,1,0,5,2.6,0.2,0.2
39U1BHVTDM4CCSYLULQPG1LXPAI3T8,A8L450UGY77XB,3X52SWXE0XIQVP05SG1Z7516KB3WCH,Fri May 01 07:41:40 PDT 2015,Fri May 01 07:49:12 PDT 2015,2015-05-01 15:52:37 UTC,Hieu Trung Nguyen,5,0,0,1,5,0,0
3IAEQB9FMFX2M14CIF1CGUE8JEPDWZ,AYALPYEQ512PP,3P4ZBJFX2VGXY1KFJIR0FBM9HOVWFS,Wed Apr 29 12:15:09 PDT 2015,Wed Apr 29 12:26:52 PDT 2015,2015-04-29 20:27:38 UTC,Long Pham,1,0,0,3,0.333333333,0,0
3AWETUDC935NO7P3LGMU6VO3TOKIZM,ASKDA7P5TIOVT,37OPIVELUUGK5K8ID3J8071V5K6HA1,Thu Apr 30 22:07:30 PDT 2015,Thu Apr 30 22:08:40 PDT 2015,2015-05-01 06:12:37 UTC,Abdul Wasay,1,0,0,1,1,0,0
3IXEICO793WB9BL3DNONN4XHZ0BT6T,AYALPYEQ512PP,32W3UF2EZOYEMNHLIAVGCDIF0I54C4,Thu Apr 30 14:40:34 PDT 2015,Thu Apr 30 14:44:39 PDT 2015,2015-04-30 22:47:38 UTC,Mossaab Bagdouri,6,0,0,2,3,0,0
34V1S5K3GTESPWCPFHJ6W4W55VY963,AYALPYEQ512PP,3ATYLI1PRTF5YUX9BMRBDF1F7TEJO7,Fri May 01 15:48:03 PDT 2015,Fri May 01 15:54:04 PDT 2015,2015-05-01 23:57:37 UTC,Stephen Herwig,0,0,0,1,0,0,0
3C8HJ7UOP879KQFU6VKMYOVKAYFZMW,AYALPYEQ512PP,37VE3DA4YUUPOUDAJHJ4VIL1N2RHBW,Fri May 01 23:52:36 PDT 2015,Sat May 02 00:01:08 PDT 2015,2015-05-02 08:02:36 UTC,Matthew Paisner,4,0,0,4,1,0,0
337RC3OW06F85OSZ5MU4D53ZLEHVLF,A8L450UGY77XB,3DFYDSXB2WD0BZH6783KCLT4PF2UJV,Wed Apr 29 09:26:21 PDT 2015,Wed Apr 29 09:30:44 PDT 2015,2015-04-29 17:32:38 UTC,Bailu Ding,1,1,0,5,0.2,0.2,0.2
3H7XDTSHKD45YLE3K52KMFH5X93WGX,A8L450UGY77XB,3SMIWMMK61IMHJH5E7MZ1BNCRBBWUS,Fri May 01 07:26:23 PDT 2015,Fri May 01 07:29:38 PDT 2015,2015-05-01 15:32:37 UTC,Risa Myers,15,0,0,4,3.75,0,0
3QY7M81QH8ZVAS9L2OFNSRAHBZ3K7E,AYALPYEQ512PP,3RKHNXPHGW9VMJNOPT3WD0TH442UKU,Fri May 01 03:31:09 PDT 2015,Fri May 01 03:35:47 PDT 2015,2015-05-01 11:37:37 UTC,Sravanthi Bondugula,3,0,0,1,3,0,0
39DD6S19JQOB82NHPXW3LGQB1V4EZ0,ASKDA7P5TIOVT,39XCQ6V3KYH72PCKMO1NV5WJ4SQ56J,Thu Apr 30 18:55:28 PDT 2015,Thu Apr 30 18:59:13 PDT 2015,2015-05-01 03:02:36 UTC,Alexander Thomson,12,2,3,4,3,1.25,0.5
3R5F3LQFV3XXKT06JBZZQSKP4THOZC,A8L450UGY77XB,3ZXNP4Z39RY48ETAXLMMI8SCLT87L6,Tue Apr 28 12:01:28 PDT 2015,Tue Apr 28 12:05:36 PDT 2015,2015-04-28 20:07:39 UTC,JAY-YOON LEE,5,0,0,2,2.5,0,0
