AssignmentId,HITId,WorkerId,AcceptTime,SubmitTime,ApprovalTime,Answer.state,value
3LJ7UR74RIQZZBC5X39WH77BDPV4NP,3MQKOF1EE2100H6JSCWARBJO5BEWDG,A2HPFQL0QFGBCS,Wed Apr 29 13:13:39 PDT 2015,Wed Apr 29 13:13:53 PDT 2015,2015-04-29 21:17:36 UTC,Pennsylvania,0
3LOTDFNYA8CZKLI89LW24UHTWTOWFH,3MQKOF1EE2100H6JSCWARBJO5BEWDG,A253NTG1FPGB6D,Thu Apr 30 10:34:01 PDT 2015,Thu Apr 30 10:34:16 PDT 2015,2015-04-30 18:37:37 UTC,Virginia,0
3NC5L260MPZRFC96IZ5SN047SO1OF2,3MQKOF1EE2100H6JSCWARBJO5BEWDG,AVIC8K2F2HGPW,Tue Apr 28 17:26:14 PDT 2015,Tue Apr 28 17:26:33 PDT 2015,2015-04-29 01:27:39 UTC,Washington,0
3W8CV64QJ3C8MLW6B0AATVLVD4E9HT,3MQKOF1EE2100H6JSCWARBJO5BEWDG,A1R0689JPSQ3OF,Tue Apr 28 12:07:24 PDT 2015,Tue Apr 28 12:07:53 PDT 2015,2015-04-28 20:12:38 UTC,Alaska,0
3X1FV8S5JY4SJWEYUVXO0DYRPX9GV8,3MQKOF1EE2100H6JSCWARBJO5BEWDG,ALDKDKRBR4LXD,Tue Apr 28 22:35:29 PDT 2015,Tue Apr 28 22:35:49 PDT 2015,2015-04-29 06:37:40 UTC,Vermont,0
34Q075JO1YQFMGNF9FOW8X4VUEH019,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A13STUE0VL42FA,Thu Apr 30 06:15:50 PDT 2015,Thu Apr 30 06:16:11 PDT 2015,2015-04-30 14:17:38 UTC,North Carolina,0
3EA3QWIZ4J8R2VG4FOXCK7NM7QCITF,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A2A2W9PT9GZ477,Wed Apr 29 23:17:05 PDT 2015,Wed Apr 29 23:18:00 PDT 2015,2015-04-30 07:22:36 UTC,New Jersey,0
3G2UL9A02EROBDOW0KLMI85Z90M67P,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,APLQSM4J9E6LR,Tue Apr 28 16:22:06 PDT 2015,Tue Apr 28 16:22:24 PDT 2015,2015-04-29 00:22:37 UTC,New Jersey,0
3KJYX6QCMAO2AY4Z21IRXQQ7HQIJV9,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,AT9BUFLGIP9Z5,Thu Apr 30 00:10:15 PDT 2015,Thu Apr 30 00:10:28 PDT 2015,2015-04-30 08:12:37 UTC,Nebraska,0
3KOPY89HM9FIYP2GIRCLEVYOQ5TJ3E,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A2HPFQL0QFGBCS,Wed Apr 29 13:11:41 PDT 2015,Wed Apr 29 13:12:02 PDT 2015,2015-04-29 21:12:37 UTC,Rhode Island,0
3LQ8PUHQFM51XMP9FUGN6OKYWWJIH7,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A3HK8ARXKRHVAD,Thu Apr 30 00:22:49 PDT 2015,Thu Apr 30 00:23:10 PDT 2015,2015-04-30 08:27:36 UTC,New Jersey,0
3NVC2EB65RC8TEXF4RDOOIDC39I3Y8,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A259GEK5AHGM13,Wed Apr 29 04:53:33 PDT 2015,Wed Apr 29 04:56:24 PDT 2015,2015-04-29 12:57:39 UTC,Massachusetts,0
3S3AMIZX3VIT83Y71O1B4075RX2DCJ,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,AVIC8K2F2HGPW,Tue Apr 28 17:18:53 PDT 2015,Tue Apr 28 17:19:13 PDT 2015,2015-04-29 01:22:38 UTC,Michigan,0
3T3IWE1XG704JT4NSW2LT9E8Y08QT5,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A28PU11KIZ76YT,Wed Apr 29 17:18:42 PDT 2015,Wed Apr 29 17:19:00 PDT 2015,2015-04-30 01:22:37 UTC,California,0
3ZSANO2JCGK6D41ZPGM175E8QGIFSB,3XT3KXP24ZBJED7ZT8KHKE0O9EU6IS,A3T5KRA1IDHS4I,Thu Apr 30 06:26:00 PDT 2015,Thu Apr 30 06:26:24 PDT 2015,2015-04-30 14:27:37 UTC,Michigan,0
36H9ULYP637DE1I92MDNF4NLUX8FJY,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,AW0QDI257BN65,Thu Apr 30 07:44:51 PDT 2015,Thu Apr 30 07:45:06 PDT 2015,2015-04-30 15:47:36 UTC,Virginia,0
379J5II41PTR3D6DAW5UD1FDLKZELF,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,A519N987YDT5Q,Wed Apr 29 17:39:16 PDT 2015,Wed Apr 29 17:39:37 PDT 2015,2015-04-30 01:42:37 UTC,Ohio,0
3BWI6RSP7HMSOSHB624KUWXCQY47E5,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,A2TWRSLHWA69II,Tue Apr 28 14:18:57 PDT 2015,Tue Apr 28 14:19:15 PDT 2015,2015-04-28 22:22:38 UTC,Rhode Island,0
3COPXFW7XCPKGYDLYA94SD12ARHPKT,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,A2A2W9PT9GZ477,Thu Apr 30 00:19:19 PDT 2015,Thu Apr 30 00:20:02 PDT 2015,2015-04-30 08:22:37 UTC,Montana,0
3K2755HG5TG0BFIHSQRCC6S8OBNFDR,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,AT9BUFLGIP9Z5,Wed Apr 29 07:52:12 PDT 2015,Wed Apr 29 07:52:53 PDT 2015,2015-04-29 15:57:38 UTC,Alaska,0
3K2755HG5TG0BFIHSQRCC6S8PDCDFJ,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,A35FPE0929YLKR,Thu Apr 30 08:02:40 PDT 2015,Thu Apr 30 08:02:57 PDT 2015,2015-04-30 16:07:37 UTC,Nebraska,0
3M0NZ3JDP2BBCJUOEW30HMKYNYQ5Z2,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,AVIC8K2F2HGPW,Tue Apr 28 17:24:44 PDT 2015,Tue Apr 28 17:25:00 PDT 2015,2015-04-29 01:27:38 UTC,South Carolina,0
3QFUFYSY9ZSNBJZOZFQJ92Y2BZBF4X,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,A3T5KRA1IDHS4I,Wed Apr 29 14:07:52 PDT 2015,Wed Apr 29 14:08:36 PDT 2015,2015-04-29 22:12:37 UTC,New Jersey,0
3WSELTNVR4FCWDX6305Z39Z3UHRATL,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,A259GEK5AHGM13,Wed Apr 29 04:51:09 PDT 2015,Wed Apr 29 04:51:24 PDT 2015,2015-04-29 12:52:39 UTC,New York,0
3ZR9AIQJUCMWEFKYWX7Y6VBY5VB403,3R16PJFTS34W5LT9ANCE0WVN5RD4KG,APLQSM4J9E6LR,Tue Apr 28 16:24:33 PDT 2015,Tue Apr 28 16:25:11 PDT 2015,2015-04-29 00:27:37 UTC,New Jersey,0
30OG32W0SVOHRD9YM9L9QTJ2QFKEN2,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,AT9BUFLGIP9Z5,Thu Apr 30 00:13:25 PDT 2015,Thu Apr 30 00:13:46 PDT 2015,2015-04-30 08:17:36 UTC,Ohio,0
33LKR6A5KFXG2PK67HC6S860QNA1TD,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,ALDKDKRBR4LXD,Tue Apr 28 22:38:58 PDT 2015,Tue Apr 28 22:39:37 PDT 2015,2015-04-29 06:42:39 UTC,Illinois,0
3FDJT1UU75LGNOV2EV0QU7WLJPZK5H,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A1R0689JPSQ3OF,Tue Apr 28 12:06:52 PDT 2015,Tue Apr 28 12:07:07 PDT 2015,2015-04-28 20:07:40 UTC,Utah,0
3GDTJDAPVVOU0UE7X5K9L4YGAMPM8O,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A28PU11KIZ76YT,Wed Apr 29 17:14:16 PDT 2015,Wed Apr 29 17:16:33 PDT 2015,2015-04-30 01:17:36 UTC,Maryland,0
3GS6S824SRAB8DVP79FFCZQ2XHKWNR,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,APLQSM4J9E6LR,Tue Apr 28 16:23:11 PDT 2015,Tue Apr 28 16:23:28 PDT 2015,2015-04-29 00:27:37 UTC,New Jersey,0
3OB0CAO74I2NNM4EJC2QSCEMME0HYT,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A259GEK5AHGM13,Wed Apr 29 05:07:55 PDT 2015,Wed Apr 29 05:08:20 PDT 2015,2015-04-29 13:12:39 UTC,Idaho,0
3RYC5T2D746632QGOUI1TPNG5JCRPP,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A2A2W9PT9GZ477,Thu Apr 30 00:48:39 PDT 2015,Thu Apr 30 00:49:11 PDT 2015,2015-04-30 08:52:36 UTC,Tennessee,0
3SEPORI8WOC8IP659SUHPX0KFDYZAB,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A2HPFQL0QFGBCS,Wed Apr 29 13:14:46 PDT 2015,Wed Apr 29 13:14:58 PDT 2015,2015-04-29 21:17:37 UTC,Wisconsin,0
3TVRFO09GLS09DXU51VM1Q0K1OKXLD,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A2TWRSLHWA69II,Tue Apr 28 14:13:55 PDT 2015,Tue Apr 28 14:14:13 PDT 2015,2015-04-28 22:17:37 UTC,New Jersey,0
3YMTUJH0DTTXUOHPUZV8Q6D3282T42,3VADEH0UHCAGIXS0DGD4UGXSDHMSPC,A1U3PULHJJGGCC,Wed Apr 29 19:59:54 PDT 2015,Wed Apr 29 20:00:20 PDT 2015,2015-04-30 04:02:37 UTC,Montana,0
34Q075JO1YQFMGNF9FOW8X4VUHO10N,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,AYALPYEQ512PP,Sat May 02 15:50:15 PDT 2015,Sat May 02 15:51:16 PDT 2015,2015-05-02 23:52:38 UTC,Texas,0
3II4UPYCOKKX248Q6626O5WMWFHQDM,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,A3T5KRA1IDHS4I,Thu Apr 30 06:29:14 PDT 2015,Thu Apr 30 06:29:42 PDT 2015,2015-04-30 14:32:39 UTC,Colorado,0
3O7L7BFSHF2PDCY7PT8HLLNL4FGIEE,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,AT9BUFLGIP9Z5,Wed Apr 29 07:55:24 PDT 2015,Wed Apr 29 07:55:37 PDT 2015,2015-04-29 15:57:39 UTC,Florida,0
3PJ71Z61R5FXIABS9B7P185OWG919F,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,APLQSM4J9E6LR,Tue Apr 28 23:45:00 PDT 2015,Tue Apr 28 23:45:21 PDT 2015,2015-04-29 07:47:38 UTC,New Jersey,0
3TDXMTX3CC7L0X5SJBPJ9XV8NIZI62,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,A2LMRPVOK2R39X,Wed Apr 29 21:59:26 PDT 2015,Wed Apr 29 22:00:29 PDT 2015,2015-04-30 06:02:37 UTC,Alaska,0
3VJ40NV2QJ01YHR7DJAH44J8JZBOTG,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,A2A2W9PT9GZ477,Wed Apr 29 23:26:28 PDT 2015,Wed Apr 29 23:27:26 PDT 2015,2015-04-30 07:27:37 UTC,Maryland,0
3ZAK8W07I5RVVDEDB3YGJZ9S5CP0UL,3KL228NDMVZCH1MT5OEF9LSQVWMKGJ,A3IDJZM7H7WRU7,Thu Apr 30 22:36:33 PDT 2015,Thu Apr 30 22:36:51 PDT 2015,2015-05-01 06:37:37 UTC,Oklahoma,0
338JKRMM27CMR46B36OAPQWFJOEAHV,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,AT9BUFLGIP9Z5,Thu Apr 30 00:09:08 PDT 2015,Thu Apr 30 00:09:19 PDT 2015,2015-04-30 08:12:36 UTC,Michigan,0
36AHBNMV1SP6B6ZCXGJ01RZOUMWYDQ,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,APLQSM4J9E6LR,Tue Apr 28 23:44:46 PDT 2015,Tue Apr 28 23:45:13 PDT 2015,2015-04-29 07:47:38 UTC,New Jersey,0
3CFJTT4SXU344XJX2LUBFBV4ITO7IV,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,A2A2W9PT9GZ477,Thu Apr 30 00:42:54 PDT 2015,Thu Apr 30 00:43:43 PDT 2015,2015-04-30 08:47:36 UTC,Michigan,0
3DQQ64TANHYBBY72NOS7GOVXYZ4WPD,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,A35FPE0929YLKR,Thu Apr 30 07:57:04 PDT 2015,Thu Apr 30 07:57:14 PDT 2015,2015-04-30 15:57:39 UTC,Ohio,0
3DUZQ9U6SN1V91NPPVR5PRHUD8ESVF,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,A259GEK5AHGM13,Wed Apr 29 04:51:44 PDT 2015,Wed Apr 29 04:52:00 PDT 2015,2015-04-29 12:52:39 UTC,Pennsylvania,0
3G2UL9A02EROBDOW0KLMI85ZA3367D,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,A3T5KRA1IDHS4I,Thu Apr 30 06:27:25 PDT 2015,Thu Apr 30 06:27:46 PDT 2015,2015-04-30 14:32:38 UTC,Minnesota,0
3OS46CRSLGCQM3PSIIO2OML2WL9V6T,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,A13STUE0VL42FA,Thu Apr 30 06:21:14 PDT 2015,Thu Apr 30 06:21:28 PDT 2015,2015-04-30 14:22:37 UTC,Alabama,0
3SB5N7Y3O4HCQVDIRY9ZFK81W32G0R,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,AW0QDI257BN65,Thu Apr 30 07:51:21 PDT 2015,Thu Apr 30 07:51:30 PDT 2015,2015-04-30 15:52:38 UTC,Delaware,0
3ZDAD0O1T2QOSQ5ZEAXDNHA1V2LTXT,3R5OYNIC2CMHXX5F2GIU4LTEF00PTY,A2HPFQL0QFGBCS,Wed Apr 29 13:13:53 PDT 2015,Wed Apr 29 13:14:10 PDT 2015,2015-04-29 21:17:36 UTC,Illinois,0
30BXRYBRP5AJYH9E4BK27FT6C91HW2,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A3IDJZM7H7WRU7,Thu Apr 30 22:34:06 PDT 2015,Thu Apr 30 22:34:18 PDT 2015,2015-05-01 06:37:36 UTC,Wisconsin,0
33FOTY3KENYZG8IVLVHG3Y6W33NC1N,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A253NTG1FPGB6D,Thu Apr 30 10:10:52 PDT 2015,Thu Apr 30 10:11:16 PDT 2015,2015-04-30 18:12:39 UTC,West Virginia,0
34BBWHLWHBOJUCKYAT2N7RULBKWWIL,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,AT9BUFLGIP9Z5,Thu Apr 30 00:30:19 PDT 2015,Thu Apr 30 00:30:31 PDT 2015,2015-04-30 08:32:36 UTC,California,0
3A4NIXBJ77CPF1YQRUTDQ9KMULLML5,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,APLQSM4J9E6LR,Tue Apr 28 23:42:19 PDT 2015,Tue Apr 28 23:42:39 PDT 2015,2015-04-29 07:47:37 UTC,New Jersey,0
3JZQSN0I3RN3NZS8UGSKIRV513IFGG,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A2HPFQL0QFGBCS,Wed Apr 29 13:24:27 PDT 2015,Wed Apr 29 13:24:40 PDT 2015,2015-04-29 21:27:38 UTC,Texas,0
3L6L49WXW1AV9M6ZT3DANQ7PM5R45X,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A2A2W9PT9GZ477,Wed Apr 29 23:56:32 PDT 2015,Wed Apr 29 23:57:23 PDT 2015,2015-04-30 07:57:36 UTC,Mississippi,0
3ND9UOO81LFLKDS4VWZ0Z7MDSMDWLI,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A2TWRSLHWA69II,Tue Apr 28 14:14:52 PDT 2015,Tue Apr 28 14:15:24 PDT 2015,2015-04-28 22:17:37 UTC,New York,0
3TMFV4NEP9RQ568L17QWU2078NY8WU,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,ALDKDKRBR4LXD,Tue Apr 28 22:34:48 PDT 2015,Tue Apr 28 22:35:02 PDT 2015,2015-04-29 06:37:40 UTC,New Hampshire,0
3XUHV3NRVLBPLYUU8AXTHFGTR8VH5A,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A1R0689JPSQ3OF,Tue Apr 28 12:05:57 PDT 2015,Tue Apr 28 12:06:11 PDT 2015,2015-04-28 20:07:40 UTC,Colorado,0
3YDTZAI2WYTWL45GSGBYK0U8AO541W,3HRWUH63QUFF9AICL5N4XGI5ZIE5NS,A259GEK5AHGM13,Wed Apr 29 04:54:35 PDT 2015,Wed Apr 29 05:02:26 PDT 2015,2015-04-29 13:02:40 UTC,Louisiana,0
39PAAFCODNDWO104EVWVZWDGFQ6TVH,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,AVIC8K2F2HGPW,Tue Apr 28 17:25:49 PDT 2015,Tue Apr 28 17:26:01 PDT 2015,2015-04-29 01:27:39 UTC,Vermont,0
3E47SOBEYR9AGEETT22MVXNIJ37CIJ,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,A1AOYJXY8HTWLJ,Wed Apr 29 09:31:29 PDT 2015,Wed Apr 29 09:31:58 PDT 2015,2015-04-29 17:32:38 UTC,Illinois,0
3EWIJTFFVPKE6HHRL3JBFHNPJNL0ES,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,A13STUE0VL42FA,Thu Apr 30 06:20:58 PDT 2015,Thu Apr 30 06:21:13 PDT 2015,2015-04-30 14:22:37 UTC,Louisiana,0
3JZQSN0I3RN3NZS8UGSKIRV514FGFG,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,A2A2W9PT9GZ477,Thu Apr 30 00:56:06 PDT 2015,Thu Apr 30 00:56:35 PDT 2015,2015-04-30 08:57:37 UTC,Nevada,0
3K9FOBBF2IWVXJJQ3V8D3O9MZB5NLG,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,A259GEK5AHGM13,Wed Apr 29 05:08:10 PDT 2015,Wed Apr 29 05:09:17 PDT 2015,2015-04-29 13:12:39 UTC,Alaska,0
3KRVW3HTZOYCJETGB3QE2VYHMEZSMT,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,A1R0689JPSQ3OF,Tue Apr 28 11:38:33 PDT 2015,Tue Apr 28 11:38:55 PDT 2015,2015-04-28 19:42:57 UTC,Pennsylvania,0
3P4RDNWND6JXOSKZ3UJ8I10D9NQJIE,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,A2HPFQL0QFGBCS,Wed Apr 29 13:18:09 PDT 2015,Wed Apr 29 13:18:23 PDT 2015,2015-04-29 21:22:37 UTC,Alabama,0
3QY5DC2MXSXMSHT3ELH1M6WWAB2UF0,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,APLQSM4J9E6LR,Tue Apr 28 23:43:49 PDT 2015,Tue Apr 28 23:44:10 PDT 2015,2015-04-29 07:47:38 UTC,New Jersey,0
3VA45EW49O00PXFYB0Q7YY0DSH01O3,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,AW0QDI257BN65,Thu Apr 30 07:51:10 PDT 2015,Thu Apr 30 07:51:21 PDT 2015,2015-04-30 15:52:38 UTC,Hawaii,0
3YDGXNSEO07EW4P1R1KDZAHGOVS843,3AC6MFV69KVL6SGQPVZ7H0S4E5CHZ1,AT9BUFLGIP9Z5,Thu Apr 30 00:12:59 PDT 2015,Thu Apr 30 00:13:10 PDT 2015,2015-04-30 08:17:36 UTC,North Carolina,0
324G5B4FB4LTX22HYV5597V8WX007I,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,APLQSM4J9E6LR,Tue Apr 28 16:19:18 PDT 2015,Tue Apr 28 16:21:02 PDT 2015,2015-04-29 00:22:37 UTC,New Jersey,0
32SCWG5HIIHDHJSWW6F3IUWKAXC6PN,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,AW0QDI257BN65,Thu Apr 30 07:45:48 PDT 2015,Thu Apr 30 07:45:59 PDT 2015,2015-04-30 15:47:37 UTC,Maryland,0
33SA9F9TRY77E7ICEACWMCWTJROEWT,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,AT9BUFLGIP9Z5,Thu Apr 30 00:17:51 PDT 2015,Thu Apr 30 00:18:05 PDT 2015,2015-04-30 08:22:36 UTC,Wyoming,0
34YB12FSQZ19T9KPG3WXDHFEY48GM2,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,A259GEK5AHGM13,Wed Apr 29 04:53:43 PDT 2015,Wed Apr 29 04:56:52 PDT 2015,2015-04-29 12:57:39 UTC,Maryland,0
36W0OB37HXRNSCEJFY496JNOS9LZHL,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,A2A2W9PT9GZ477,Thu Apr 30 00:44:18 PDT 2015,Thu Apr 30 00:44:49 PDT 2015,2015-04-30 08:47:36 UTC,Washington,0
3KB8R4ZV1FKDAIGSPE6OZ14KN76GBK,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,A253NTG1FPGB6D,Thu Apr 30 10:35:19 PDT 2015,Thu Apr 30 10:35:34 PDT 2015,2015-04-30 18:37:37 UTC,Georgia,0
3MB8LZR5BG6UPDYN6IGXBWSI6ISKL5,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,A3T5KRA1IDHS4I,Thu Apr 30 06:41:14 PDT 2015,Thu Apr 30 06:41:34 PDT 2015,2015-04-30 14:42:38 UTC,New Hampshire,0
3Q5ZZ9ZEVPSWSNT1563N42NUOP458I,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,A1R0689JPSQ3OF,Tue Apr 28 11:39:08 PDT 2015,Tue Apr 28 11:39:25 PDT 2015,2015-04-28 19:42:57 UTC,Illinois,0
3TVRFO09GLS09DXU51VM1Q0K1OJXLC,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,A2TWRSLHWA69II,Tue Apr 28 14:03:21 PDT 2015,Tue Apr 28 14:03:34 PDT 2015,2015-04-28 22:07:37 UTC,Hawaii,0
3ZPBJO59KQEKPB9NNGFCFR4L4P7DHS,37MQ8Z1JQE9HMC33AOUHGPD0JSQY29,AVIC8K2F2HGPW,Tue Apr 28 17:22:26 PDT 2015,Tue Apr 28 17:22:40 PDT 2015,2015-04-29 01:27:38 UTC,North Carolina,0
320DUZ38G8ZJS1E4D6J5XPNXU9DJGZ,344M16OZKISF5TB5W6G71AOICBCNEA,A1R0689JPSQ3OF,Tue Apr 28 11:57:26 PDT 2015,Tue Apr 28 11:57:45 PDT 2015,2015-04-28 20:02:46 UTC,Kansas,0
39O5D9O87U5VQBWA8ZVZRRLT0KB3C9,344M16OZKISF5TB5W6G71AOICBCNEA,APLQSM4J9E6LR,Tue Apr 28 16:22:25 PDT 2015,Tue Apr 28 16:22:46 PDT 2015,2015-04-29 00:27:36 UTC,New Jersey,0
