AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,State,GDP
3NXNZ5RS1BABTWQUYROY2IW1ZNY79D,A1VHFLDO4EPKT4,3JUDR1D0D648DACHJEDN33AYK0N2QM,Tue Apr 21 12:10:57 PDT 2015,Tue Apr 21 12:12:02 PDT 2015,2015-04-21 20:12:37 UTC,Rhode Island,46954.00
3PIWWX1FJKJTJ345LC48U2FDML9JJM,A27N78ZVOGSIAU,3JUDR1D0D648DACHJEDN33AYK0N2QM,Mon Apr 20 07:34:31 PDT 2015,Mon Apr 20 07:34:45 PDT 2015,2015-04-20 15:37:37 UTC,Alabama,170014.00
3XCC1ODXDMOR3ERVO7XQTUDQASPRQX,A3H2IJ9PWVEQRU,3JUDR1D0D648DACHJEDN33AYK0N2QM,Fri Apr 17 06:57:33 PDT 2015,Fri Apr 17 06:58:07 PDT 2015,2015-04-17 15:02:39 UTC,Louisiana,222218.00
3YMTUJH0DTTXUOHPUZV8Q6D32ON4TU,ANB51V4Y2O7FR,3JUDR1D0D648DACHJEDN33AYK0N2QM,Sat Apr 18 08:24:39 PDT 2015,Sat Apr 18 08:25:08 PDT 2015,2015-04-18 16:27:43 UTC,Ohio,471508.00
34V1S5K3GTESPWCPFHJ6W4W547496W,A37SZ84T6GDN7T,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Fri Apr 17 23:36:26 PDT 2015,Fri Apr 17 23:36:55 PDT 2015,2015-04-18 07:37:36 UTC,Tennessee,252127.00
37U1UTWH9WZLXARZ2DGQ73SQGMAR8T,A3H2IJ9PWVEQRU,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Fri Apr 17 08:38:41 PDT 2015,Fri Apr 17 08:39:18 PDT 2015,2015-04-17 16:42:37 UTC,North Dakota,31208.00
3E13VNJ1NO8QTB4VD5D2E14RFPL1IP,A27N78ZVOGSIAU,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Mon Apr 20 07:33:24 PDT 2015,Mon Apr 20 07:33:40 PDT 2015,2015-04-20 15:37:37 UTC,Missouri,237797.00
3FTF2T8WLSVQJBRV6ZWAUYVIS4ZW9C,AYALPYEQ512PP,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Thu Apr 16 11:42:42 PDT 2015,Thu Apr 16 11:43:13 PDT 2015,2015-04-16 19:47:38 UTC,Nevada,130043.00
3HYA4D452SWD85K1V17VGN14R312FA,A2T2D6DDA5X5DZ,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Mon Apr 20 00:41:55 PDT 2015,Mon Apr 20 00:43:12 PDT 2015,2015-04-20 08:47:38 UTC,Virginia,397025.00
3IAEQB9FMFX2M14CIF1CGUE8JXCDWO,ARO1UXSXU5QLI,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Sun Apr 19 21:27:30 PDT 2015,Sun Apr 19 21:28:05 PDT 2015,2015-04-20 05:32:36 UTC,Illinois,633697.00
3IGI0VL648X334MNGNO5V5DGUURON7,AGMJCJ660ULYJ,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Fri Apr 17 09:02:18 PDT 2015,Fri Apr 17 09:02:33 PDT 2015,2015-04-17 17:02:37 UTC,Oregon,161573.00
3IO1LGZLKAASBRTFAPDSW81UK7G86C,A1CPLZSLNP0FI7,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Tue Apr 21 17:28:05 PDT 2015,Tue Apr 21 17:28:23 PDT 2015,2015-04-22 01:32:36 UTC,North Carolina,400192.00
3Z3ZLGNNSJ7ZKC6TDHWUBWAA4I3Q3U,APLQSM4J9E6LR,3SCKNODZ0XTUWEWV9Y21V0W1Q5L7NJ,Sun Apr 19 02:25:42 PDT 2015,Sun Apr 19 02:25:58 PDT 2015,2015-04-19 10:27:38 UTC,Pennsylvania,553301.00
38JBBYETQPNV55ZS446DRKD2ZFD4EJ,APLQSM4J9E6LR,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Sun Apr 19 02:36:09 PDT 2015,Sun Apr 19 02:36:25 PDT 2015,2015-04-19 10:37:37 UTC,Alabama,170014.00
39RP059MEI6D2SCE0H4JC6OHI5WBMO,A3H2IJ9PWVEQRU,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Fri Apr 17 08:39:19 PDT 2015,Fri Apr 17 08:39:54 PDT 2015,2015-04-17 16:42:37 UTC,Vermont,25442.00
3A9AA95ATXZHYFSIRN5YQOIKDIP5PP,A32FN27SSDQ3Q7,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Sun Apr 19 10:36:33 PDT 2015,Sun Apr 19 10:36:41 PDT 2015,2015-04-19 18:37:39 UTC,Wisconsin,240429.00
3CFVK00FWMYNQYDY4EMW1DN044ML6C,AT9BUFLGIP9Z5,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Sun Apr 19 21:55:59 PDT 2015,Sun Apr 19 21:56:11 PDT 2015,2015-04-20 05:57:37 UTC,NORTH DAKOTA,31208.00
3LOZAJ85YEQU8RBMVVDHMU1BV0UX2D,AYALPYEQ512PP,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Thu Apr 16 11:32:15 PDT 2015,Thu Apr 16 11:32:58 PDT 2015,2015-04-16 19:37:37 UTC,Kansas,124215.00
3QY7M81QH8ZVAS9L2OFNSRAHAF27KV,A2L2JF1JIRQHF7,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Sun Apr 19 22:27:49 PDT 2015,Sun Apr 19 22:28:14 PDT 2015,2015-04-20 06:32:37 UTC,Virginia,0.40
3T111IHZ5F3LBFA975M47ZN10UY9RA,A2KNE9E89YLQ3A,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Sat Apr 18 06:30:07 PDT 2015,Sat Apr 18 06:31:37 PDT 2015,2015-04-18 14:32:38 UTC,California,1891.36
3WQQ9FUS6B7YH3AA6GU07ONMY568B6,A27N78ZVOGSIAU,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Mon Apr 20 07:30:26 PDT 2015,Mon Apr 20 07:30:53 PDT 2015,2015-04-20 15:32:38 UTC,Pennsylvania,553301.00
3YW4XOSQKRYV22ZV7M2GX4S29IL1U6,ANB51V4Y2O7FR,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Sat Apr 18 08:39:35 PDT 2015,Sat Apr 18 08:40:22 PDT 2015,2015-04-18 16:42:38 UTC,Louisiana,222218.00
3YZ8UPK3VUZFP59TNJR0E0BTDHTCUS,A2T2D6DDA5X5DZ,3XU9MCX6VOP8PBRHWT2N8TK3GMP2RN,Mon Apr 20 01:19:04 PDT 2015,Mon Apr 20 01:19:27 PDT 2015,2015-04-20 09:22:39 UTC,Vermont,25442.00
3BF51CHDTWNQQR8TB4RH0KK2AF2H01,AGMJCJ660ULYJ,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Fri Apr 17 09:02:34 PDT 2015,Fri Apr 17 09:02:51 PDT 2015,2015-04-17 17:07:37 UTC,Kentucky,156384.00
3CPLWGV3MPC0WHIHEY5NYFIRZY8N91,AHBD716JZ2RDG,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sat Apr 18 18:49:29 PDT 2015,Sat Apr 18 18:50:07 PDT 2015,2015-04-19 02:52:39 UTC,Alaska,49809.00
3DPNQGW4LMSRSQ6DYMNFFWLPIIL64Y,A1VHFLDO4EPKT4,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sun Apr 19 15:38:11 PDT 2015,Sun Apr 19 15:39:26 PDT 2015,2015-04-19 23:42:38 UTC,North Dakota,32125.00
3GU1KF0O4JEJNV9RSXWBTAICNCXBPE,A37SZ84T6GDN7T,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Fri Apr 17 23:33:16 PDT 2015,Fri Apr 17 23:33:48 PDT 2015,2015-04-18 07:37:36 UTC,Maryland,273333.00
3HUTX6F6VV07EIXUU4QL3HAIJ46O2W,A39YLF16LSEZF5,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sun Apr 19 12:11:09 PDT 2015,Sun Apr 19 12:11:27 PDT 2015,2015-04-19 20:12:37 UTC,Maryland,220865.00
3LRLIPTPERMDTU7J9RR72IC7BLSAK5,A187PGJ8BQDVR3,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sat Apr 18 08:27:59 PDT 2015,Sat Apr 18 08:28:21 PDT 2015,2015-04-18 16:32:44 UTC,Ohio,0.47
3OHYZ19UGDIWJLSY7JJ09ZTGVQ7AOU,ANB51V4Y2O7FR,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sat Apr 18 09:53:59 PDT 2015,Sat Apr 18 09:54:33 PDT 2015,2015-04-18 17:57:40 UTC,Vermont,25442.00
3SEPORI8WOC8IP659SUHPX0KFVXAZL,A32FN27SSDQ3Q7,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sun Apr 19 10:31:18 PDT 2015,Sun Apr 19 10:31:33 PDT 2015,2015-04-19 18:32:37 UTC,Idaho,52747.00
3VFJCI1K40C0QPXHLBSEZG9O497RG1,AU3WQKISBW5MZ,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Sun Apr 19 00:03:03 PDT 2015,Sun Apr 19 00:03:20 PDT 2015,2015-04-19 08:07:37 UTC,Colorado,0.25
3WRFBPLXRB1EHFT1XP4D72F5Z0JN3T,AYALPYEQ512PP,3NSCTNUR2Z08PRONC1IZBAY50SRA5N,Thu Apr 16 11:18:19 PDT 2015,Thu Apr 16 11:19:31 PDT 2015,2015-04-16 19:22:39 UTC,Alabama,173251.00
3018Q3ZVOJ3ZGYKEZB043UYL6AAARG,A3H2IJ9PWVEQRU,31ODACBENUS1I9TFDTSTULN2IUKQSB,Fri Apr 17 08:33:50 PDT 2015,Fri Apr 17 08:34:23 PDT 2015,2015-04-17 16:37:37 UTC,Idaho,52747.00
39PAAFCODNDWO104EVWVZWDGF5CTVH,AGMJCJ660ULYJ,31ODACBENUS1I9TFDTSTULN2IUKQSB,Fri Apr 17 09:28:11 PDT 2015,Fri Apr 17 09:28:23 PDT 2015,2015-04-17 17:32:40 UTC,Vermont,25442.00
3BV8HQ2ZZXE6UFMU7NX6SZ7PAR16AR,A32FN27SSDQ3Q7,31ODACBENUS1I9TFDTSTULN2IUKQSB,Sun Apr 19 10:34:23 PDT 2015,Sun Apr 19 10:34:35 PDT 2015,2015-04-19 18:37:38 UTC,Kansas,122731.00
3CP1TO84PUEL68RCPPUMUBAR21J257,AYALPYEQ512PP,31ODACBENUS1I9TFDTSTULN2IUKQSB,Thu Apr 16 10:42:23 PDT 2015,Thu Apr 16 10:42:55 PDT 2015,2015-04-16 18:47:38 UTC,Washington,322778.00
3GD6L00D3TACPUUMYKBU6UB8WQ3M18,A3GMFXM51U4KCN,31ODACBENUS1I9TFDTSTULN2IUKQSB,Thu Apr 16 14:33:50 PDT 2015,Thu Apr 16 14:35:33 PDT 2015,2015-04-16 22:37:40 UTC,Colorado,252.49
3KMS4QQVK338PLORK7DZGJNY8VJKFU,A263PR329EJ7U9,31ODACBENUS1I9TFDTSTULN2IUKQSB,Thu Apr 16 11:06:19 PDT 2015,Thu Apr 16 11:08:06 PDT 2015,2015-04-16 19:12:39 UTC,hawaii,67.42
3M81GAB8A1W4N7A6SAB0TF8MSAEQBJ,AU3WQKISBW5MZ,31ODACBENUS1I9TFDTSTULN2IUKQSB,Sun Apr 19 00:07:21 PDT 2015,Sun Apr 19 00:07:34 PDT 2015,2015-04-19 08:07:38 UTC,Nevada,0.13
3OLQQLKKNT2L8NID7BTHXM2LH53JEB,A1U3PULHJJGGCC,31ODACBENUS1I9TFDTSTULN2IUKQSB,Thu Apr 16 10:35:07 PDT 2015,Thu Apr 16 10:35:40 PDT 2015,2015-04-16 18:37:39 UTC,Texas,44310.00
3PJUZCGDJ7TFTAVD8WG4GISWA4S98K,APLQSM4J9E6LR,31ODACBENUS1I9TFDTSTULN2IUKQSB,Sun Apr 19 02:32:25 PDT 2015,Sun Apr 19 02:33:52 PDT 2015,2015-04-19 10:37:36 UTC,Tennessee,252127.00
3YMTUJH0DTTXUOHPUZV8Q6D32OKT4G,ANB51V4Y2O7FR,31ODACBENUS1I9TFDTSTULN2IUKQSB,Sat Apr 18 07:41:07 PDT 2015,Sat Apr 18 07:46:37 PDT 2015,2015-04-18 15:47:41 UTC,Illinois,633697.00
33M4IA01QHEBCBS7ALSIN29J70CRX4,A2T2D6DDA5X5DZ,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Mon Apr 20 00:57:17 PDT 2015,Mon Apr 20 00:58:02 PDT 2015,2015-04-20 09:02:38 UTC,Oregon,161573.00
36H9ULYP637DE1I92MDNF4NLTEKFJ7,AT9BUFLGIP9Z5,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Sun Apr 19 21:44:39 PDT 2015,Sun Apr 19 21:44:53 PDT 2015,2015-04-20 05:47:37 UTC,ILLINOIS,633697.00
382M9COHEISUM3T7JAXV4OBWYSHEUW,A32FN27SSDQ3Q7,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Sun Apr 19 10:36:41 PDT 2015,Sun Apr 19 10:36:50 PDT 2015,2015-04-19 18:37:39 UTC,Colorado,248603.00
3EKVH9QMEZHGAL654VC5SNYJFO4D2P,ANB51V4Y2O7FR,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Sat Apr 18 08:44:13 PDT 2015,Sat Apr 18 08:44:50 PDT 2015,2015-04-18 16:47:38 UTC,Iowa,135702.00
3J4Q2Z4UTZGWBA8HN17WGTL72C2WQD,A2L2JF1JIRQHF7,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Sun Apr 19 22:40:17 PDT 2015,Sun Apr 19 22:40:41 PDT 2015,2015-04-20 06:42:36 UTC,Hawaii,0.06
3KWTYT0871GR7UDKZVCR97908855L8,AU3WQKISBW5MZ,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Sun Apr 19 00:12:58 PDT 2015,Sun Apr 19 00:13:12 PDT 2015,2015-04-19 08:17:36 UTC,Alaska,0.05
3OHYZ19UGDIWJLSY7JJ09ZTGVSKAOB,APLQSM4J9E6LR,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Mon Apr 20 02:34:44 PDT 2015,Mon Apr 20 02:35:05 PDT 2015,2015-04-20 10:37:38 UTC,New Mexico,79901.00
3QY5DC2MXSXMSHT3ELH1M6WWASXUFT,AHBD716JZ2RDG,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Sat Apr 18 19:01:47 PDT 2015,Sat Apr 18 19:01:57 PDT 2015,2015-04-19 03:02:40 UTC,Oklahoma,153223.00
3R08VXYT7D8M5S32R2YQG24CXEAW7Z,AYALPYEQ512PP,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Thu Apr 16 11:22:07 PDT 2015,Thu Apr 16 11:22:49 PDT 2015,2015-04-16 19:27:37 UTC,California,1978113.00
3VAR3R6G1QEI0XZJALZMD8NL5ZJ8OU,A3H2IJ9PWVEQRU,3JHB4BPSFKMJDUXG4NS2DQICQ6WQ91,Fri Apr 17 06:50:20 PDT 2015,Fri Apr 17 06:50:59 PDT 2015,2015-04-17 14:52:37 UTC,Michigan,382544.00
32AT8R96GMMVWMYPK5H0T5FBZCASUH,AYALPYEQ512PP,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Thu Apr 16 10:55:29 PDT 2015,Thu Apr 16 10:56:18 PDT 2015,2015-04-16 18:57:37 UTC,Kansas,122731.00
35K3O9HUACQ53LWHOL2WIOATO52EFX,A32FN27SSDQ3Q7,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sun Apr 19 10:34:12 PDT 2015,Sun Apr 19 10:34:23 PDT 2015,2015-04-19 18:37:38 UTC,Utah,109777.00
386PBUZZXGAZETS5OXGLAHS5Q24LJ0,A1U3PULHJJGGCC,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Thu Apr 16 10:30:44 PDT 2015,Thu Apr 16 10:31:59 PDT 2015,2015-04-16 18:32:38 UTC,Wisconsin,38788.00
38SKSKU7R2A3JI8Z6FVLYGD5DVHIL3,AT9BUFLGIP9Z5,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sun Apr 19 21:43:33 PDT 2015,Sun Apr 19 21:43:57 PDT 2015,2015-04-20 05:47:36 UTC,TEXAS,1.22
3EKVH9QMEZHGAL654VC5SNYJFLID2X,A3H2IJ9PWVEQRU,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Fri Apr 17 06:41:50 PDT 2015,Fri Apr 17 06:43:11 PDT 2015,2015-04-17 14:47:36 UTC,California,1.85
3EWIJTFFVPKE6HHRL3JBFHNPI2F0EF,AHBD716JZ2RDG,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sat Apr 18 19:04:25 PDT 2015,Sat Apr 18 19:04:37 PDT 2015,2015-04-19 03:07:39 UTC,Wisconsin,236094.00
3IFS6Q0HJJWQNV3PQOSMA2R05OLSIL,APLQSM4J9E6LR,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sun Apr 19 02:27:00 PDT 2015,Sun Apr 19 02:27:18 PDT 2015,2015-04-19 10:27:39 UTC,North Carolina,400192.00
3L0KT67Y8FTCDVIUU6EPWQLOV6BSYH,ANB51V4Y2O7FR,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sat Apr 18 09:48:38 PDT 2015,Sat Apr 18 09:49:59 PDT 2015,2015-04-18 17:52:37 UTC,Rhode Island,47364.00
3NXNZ5RS1BABTWQUYROY2IW1ZKB79K,AU3WQKISBW5MZ,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sat Apr 18 20:55:13 PDT 2015,Sat Apr 18 20:55:46 PDT 2015,2015-04-19 04:57:37 UTC,Florida,0.74
3WLEIWSYHPUXM1B7QRVVJ8DH7ICH2L,ARO1UXSXU5QLI,3X4Q1O9UBHZCEZW7AD2EAPW6GFQ7OY,Sun Apr 19 22:01:17 PDT 2015,Sun Apr 19 22:01:57 PDT 2015,2015-04-20 06:02:36 UTC,Mississippi,91782.00
33OOO72IVIY0PSU4NE1Q94PRUVLCTK,AYALPYEQ512PP,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Thu Apr 16 11:54:55 PDT 2015,Thu Apr 16 11:55:20 PDT 2015,2015-04-16 19:57:38 UTC,Utah,116955.00
379J5II41PTR3D6DAW5UD1FDL1WELA,AU3WQKISBW5MZ,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Sat Apr 18 20:50:17 PDT 2015,Sat Apr 18 20:53:43 PDT 2015,2015-04-19 04:57:36 UTC,California,1.85
37FMASSAYD4R69MNF26RKDH01Z4IBD,AFXNF8FWT090W,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Sat Apr 18 13:22:36 PDT 2015,Sat Apr 18 13:24:51 PDT 2015,2015-04-18 21:27:38 UTC,California,1847000.00
39GXDJN2OURDQH8GBXL080HT1PC8VM,A1U3PULHJJGGCC,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Thu Apr 16 10:40:49 PDT 2015,Thu Apr 16 10:41:54 PDT 2015,2015-04-16 18:42:38 UTC,Ohio,37350.00
3AAPLD8UCDUR605K96FRKVM77Q0HTE,AGMJCJ660ULYJ,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Fri Apr 17 09:05:09 PDT 2015,Fri Apr 17 09:05:22 PDT 2015,2015-04-17 17:07:37 UTC,Nebraska,83273.00
3BDCF01OGY7P9IN4AXHOK47T3DCLY7,APLQSM4J9E6LR,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Sun Apr 19 02:29:03 PDT 2015,Sun Apr 19 02:29:34 PDT 2015,2015-04-19 10:32:40 UTC,Minnesota,262847.00
3DY4FPOOA21J8MNCA6R0ZHCYRNMRVF,A187PGJ8BQDVR3,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Sat Apr 18 08:27:42 PDT 2015,Sat Apr 18 08:27:58 PDT 2015,2015-04-18 16:32:44 UTC,Pennsylvania,0.53
3VA45EW49O00PXFYB0Q7YY0DRQ8O1F,AP8QAMZAVW4TJ,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Thu Apr 16 10:12:13 PDT 2015,Thu Apr 16 10:12:51 PDT 2015,2015-04-16 18:17:38 UTC,Colorado,252.72
3WYP994K1847QXKXNTBMVLPWDG56YY,A2KNE9E89YLQ3A,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Sat Apr 18 06:28:58 PDT 2015,Sat Apr 18 06:29:15 PDT 2015,2015-04-18 14:32:37 UTC,Alaska,45709.00
3X73LLYYQ2RTBN00CATFBWGFICKHNR,ANB51V4Y2O7FR,3RIHDBQ1NEBL7LH7A69D9YWVZI7HMV,Sat Apr 18 19:53:35 PDT 2015,Sat Apr 18 19:53:52 PDT 2015,2015-04-19 03:57:37 UTC,Washington,322778.00
336YQZE83WRBDCV5Z7D69KOP8EI5MZ,A39YLF16LSEZF5,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Sun Apr 19 12:17:40 PDT 2015,Sun Apr 19 12:18:23 PDT 2015,2015-04-19 20:22:38 UTC,Alabama,137112.00
33IZTU6J82ENDQSKPASNDCEFT1NSXJ,AU3WQKISBW5MZ,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Sun Apr 19 00:07:35 PDT 2015,Sun Apr 19 00:08:00 PDT 2015,2015-04-19 08:12:36 UTC,Kansas,0.12
35BLDD71I7ASAD93KNLDLKEX06NZV2,A2T2D6DDA5X5DZ,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Mon Apr 20 00:34:48 PDT 2015,Mon Apr 20 00:36:32 PDT 2015,2015-04-20 08:37:38 UTC,Illinois,633697.00
37WLF8U1WQ3C6SVGJEAVMDALF3V6K6,A32FN27SSDQ3Q7,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Sun Apr 19 10:37:03 PDT 2015,Sun Apr 19 10:37:15 PDT 2015,2015-04-19 18:37:39 UTC,Arizona,248888.00
39L1G8WVWR4B38MCS26FAV22W6Y13X,ANB51V4Y2O7FR,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Sat Apr 18 19:53:53 PDT 2015,Sat Apr 18 19:54:17 PDT 2015,2015-04-19 03:57:37 UTC,Maryland,273333.00
3HHRAGRYX9IIE2ITFD50D4IWPAR9OK,A3B0QYA9FDRPXK,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Sun Apr 19 14:28:45 PDT 2015,Sun Apr 19 14:29:15 PDT 2015,2015-04-19 22:32:37 UTC,North Carolina,400192.00
3IGI0VL648X334MNGNO5V5DGUUOON4,A3H2IJ9PWVEQRU,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Fri Apr 17 08:25:39 PDT 2015,Fri Apr 17 08:26:23 PDT 2015,2015-04-17 16:27:44 UTC,Utah,109777.00
3NKQQ8O39ZIPUXF7NFMBY6TBYGTUDW,A1YM1D2H8UFKH8,3DTJ4WT8BDS9MIPOZUR1WXVRM6WZED,Sat Apr 18 23:05:21 PDT 2015,Sat Apr 18 23:06:35 PDT 2015,2015-04-19 07:07:36 UTC,California,1987642000.00
